,Year,Area Name,Radius Location,heathrow_distance,CCG_Poll_Map,LAT,LONG,<75 Coronary Heart Disease Mortality Rate,Asthma Admissions Over 19yr,Asthma Admissions Under 19yr,Asthma Mortality Rate,Asthma Prevalence,Atrial Fibrillation Prevalence,CHD Admissions,CHD Prevalence,CKD Prevalence,COPD (contributory cause) Mortality Rate,COPD Admissions,COPD Prevalence,Diabetes Prevalence,Heart Failure Admissions,Heart Failure Prevalence,Hypertension Prevalence,Pneumonia (all mentions) Mortality Rate,Pneumonia Admissions,Respiratory Admissions,Respiratory Tract Admissions 1yr,Respiratory Tract Admissions U1yr,Stroke Admissions,Stroke Atrial Fib Admissions,Stroke: Prevalence,Under 75 Resp Disease Mortality Rate,Unnamed: 0,Carbon monoxide,Nitric Oxide,Nitrogen dioxide,Oxides of Nitrogen,Ozone,PM10 Particulate matter,PM10,PM2.5,Sulphur dioxide
10,2003,NHS Hillingdon CCG,Inner,7458.185529,Hillingdon,51.5366,-0.4418,65.95,,,,,,673.577,,,,,,,138.246,,,,,,,,,,,,,,,,,,,,,
11,2003,NHS Hounslow CCG,Inner,5336.9847119999995,Hounslow,51.4624,-0.37847,85.5,,,,,,1017.0,,,,,,,196.43200000000002,,,,,,,,,,,,,,,,,,,,,
12,2003,NHS Kingston CCG,Inner,14640.30942,South West London,51.3929,-0.28371999999999997,52.39,,,,,,843.928,,,,,,,123.274,,,,,,,,,,,,,,,,,,,,,
13,2003,NHS Merton CCG,Outer,19616.70838,South West London,51.4106,-0.18867,57.05,,,,,,695.069,,,,,,,164.048,,,,,,,,,,,,,,,,,,,,,
14,2003,NHS North West Surrey CCG,Inner,12083.80783,Surrey Heartlands,51.3683,-0.5151899999999999,54.8,,,,,,646.219,,,,,,,153.934,,,,,,,,,,,,,,,,,,,,,
15,2003,NHS Oxfordshire CCG,Outer,66982.40789,Oxford,51.7715,-1.29146,53.73,,,,,,537.195,,,,,,,132.253,,,,,,,,,,,,,,,,,,,,,
16,2003,NHS Richmond CCG,Inner,11948.41495,South West London,51.4403,-0.28911,54.17,,,,,,638.891,,,,,,,144.91899999999995,,,,,,,,,,,,,,,,,,,,,
17,2003,NHS Surrey Heath CCG,Outer,23497.23959,No Pollution Readings,51.3281,-0.70434,48.03,,,,,,723.97,,,,,,,84.60600000000002,,,,,,,,,,,,,,,,,,,,,
18,2003,NHS Sutton CCG,Outer,23268.28951,South West London,51.3576,-0.17227,53.69,,,,,,730.8480000000003,,,,,,,174.196,,,,,,,,,,,,,,,,,,,,,
19,2003,NHS Wandsworth CCG,Outer,17762.401869999998,South West London,51.4524,-0.20027999999999999,71.29,,,,,,828.778,,,,,,,208.127,,,,,,,,,,,,,,,,,,,,,
20,2004,NHS Berkshire West CCG,Outer,49791.742289999995,Reading,51.4458,-1.16963,55.28,,,,,,552.864,,,,,,,121.822,,,,,,,,,,,,,,,,,,,,,
21,2004,NHS Brent CCG,Outer,16247.54245,No Pollution Readings,51.5644,-0.27568000000000004,68.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2004,NHS Buckinghamshire CCG,Outer,38818.06153,No Pollution Readings,51.7414,-0.8064399999999999,46.66,,,,,,837.763,,,,,,,109.875,,,,,,,,,,,,,,,,,,,,,
23,2004,NHS Croydon CCG,Outer,28645.8407,No Pollution Readings,51.36600000000001,-0.07761,59.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2004,NHS Ealing CCG,Inner,11465.530929999999,Ealing,51.5244,-0.31405,70.77,,,,,,1015.4630000000001,,,,,,,199.53799999999998,,,,,,,,,,,,1.0,0.7700494699024731,,57.882937645478684,,33.992080422331036,,23.33357630687781,15.391342273253395,10.043231944507776
25,2004,NHS East Berkshire CCG,Outer,15803.713430000002,East Berkshire,51.4541,-0.6802600000000001,62.29,,,,,,828.13,,,,,,,123.189,,,,,,,,,,,,18.0,,,32.568065894666034,,,,23.849996292353744,,
26,2004,NHS Guildford and Waverley CCG,Outer,33590.83386,Guildford,51.1811,-0.59422,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2004,NHS Hammersmith And Fulham CCG,Outer,16573.14549,Hammersmith and Fulham,51.4873,-0.21735,65.68,,,,,,606.682,,,,,,,136.246,,,,,,,,,,,,39.0,,,58.655706618399044,,,,26.15843463906273,,9.171104938437788
28,2004,NHS Harrow CCG,Outer,16107.86487,No Pollution Readings,51.5946,-0.33603,62.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2004,NHS Herts Valleys CCG,Outer,29114.52213,Watford,51.7317,-0.45521000000000006,48.24,,,,,,711.467,,,,,,,131.093,,,,,,,,,,,,155.0,,,38.83654703549304,,37.22671615935357,,24.200917388589698,,
30,2004,NHS Hillingdon CCG,Inner,7458.185529,Hillingdon,51.5366,-0.4418,62.34,,,,,,713.2660000000003,,,,,,,159.834,,,,,,,,,,,,55.0,,,44.52378546501192,,,,26.43231135727588,12.2483558106425,
31,2004,NHS Hounslow CCG,Inner,5336.9847119999995,Hounslow,51.4624,-0.37847,74.39,,,,,,1081.411,,,,,,,181.43,,,,,,,,,,,,72.0,0.8174028579925703,50.48542333803122,57.17140222562964,134.37796484281202,31.62842598790504,28.02264972395538,,,4.155740473629969
32,2004,NHS Kingston CCG,Inner,14640.30942,South West London,51.3929,-0.28371999999999997,48.38,,,,,,888.1210000000003,,,,,,,140.97,,,,,,,,,,,,121.0,,,32.17711972637567,,44.60749359622066,,22.974463454420324,,3.676629752496368
33,2004,NHS Merton CCG,Outer,19616.70838,South West London,51.4106,-0.18867,46.83,,,,,,724.655,,,,,,,172.083,,,,,,,,,,,,121.0,,,32.17711972637567,,44.60749359622066,,22.974463454420324,,3.676629752496368
34,2004,NHS North West Surrey CCG,Inner,12083.80783,Surrey Heartlands,51.3683,-0.5151899999999999,52.68,,,,,,637.837,,,,,,,146.665,,,,,,,,,,,,138.0,0.19540337005191255,,30.98402547904986,,50.287864487890644,,21.47258121959448,11.631702891569876,2.9746653578090463
35,2004,NHS Oxfordshire CCG,Outer,66982.40789,Oxford,51.7715,-1.29146,51.04,,,,,,475.097,,,,,,,128.533,,,,,,,,,,,,89.0,,,63.54589708734695,,40.37627870216314,,27.78944357738571,,
36,2004,NHS Richmond CCG,Inner,11948.41495,South West London,51.4403,-0.28911,51.52,,,,,,672.35,,,,,,,149.725,,,,,,,,,,,,121.0,,,32.17711972637567,,44.60749359622066,,22.974463454420324,,3.676629752496368
37,2004,NHS Surrey Heath CCG,Outer,23497.23959,No Pollution Readings,51.3281,-0.70434,43.36,,,,,,780.5419999999997,,,,,,,118.583,,,,,,,,,,,,,,,,,,,,,
38,2004,NHS Sutton CCG,Outer,23268.28951,South West London,51.3576,-0.17227,48.54,,,,,,801.155,,,,,,,187.623,,,,,,,,,,,,121.0,,,32.17711972637567,,44.60749359622066,,22.974463454420324,,3.676629752496368
39,2004,NHS Wandsworth CCG,Outer,17762.401869999998,South West London,51.4524,-0.20027999999999999,62.6,,,,,,732.955,,,,,,,214.113,,,,,,,,,,,,121.0,,,32.17711972637567,,44.60749359622066,,22.974463454420324,,3.676629752496368
40,2005,NHS Berkshire West CCG,Outer,49791.742289999995,Reading,51.4458,-1.16963,52.84,,,,,,572.0790000000002,,,,,,,124.288,,,,,,,,,,,,,,,,,,,,,
41,2005,NHS Brent CCG,Outer,16247.54245,No Pollution Readings,51.5644,-0.27568000000000004,64.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2005,NHS Buckinghamshire CCG,Outer,38818.06153,No Pollution Readings,51.7414,-0.8064399999999999,45.95,,,,,,748.26,,,,,,,99.23,,,,,,,,,,,,,,,,,,,,,
43,2005,NHS Croydon CCG,Outer,28645.8407,No Pollution Readings,51.36600000000001,-0.07761,52.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2005,NHS Ealing CCG,Inner,11465.530929999999,Ealing,51.5244,-0.31405,69.72,,,,,,1158.98,,,,,,,175.25799999999995,,,,,,,,,,,,2.0,0.7621498097570265,,52.86297396999514,,28.59445309060745,,25.91664694462489,21.009842207540355,8.370424824312304
45,2005,NHS East Berkshire CCG,Outer,15803.713430000002,East Berkshire,51.4541,-0.6802600000000001,56.84,,,,,,839.135,,,,,,,160.47299999999996,,,,,,,,,,,,19.0,,,37.41835450831511,,,,27.401398039196906,10.116928683719935,
46,2005,NHS Guildford and Waverley CCG,Outer,33590.83386,Guildford,51.1811,-0.59422,40.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2005,NHS Hammersmith And Fulham CCG,Outer,16573.14549,Hammersmith and Fulham,51.4873,-0.21735,58.46,,,,,,629.414,,,,,,,149.179,,,,,,,,,,,,40.0,,,52.32533658933799,,,,30.94865509224381,,8.271812482762467
48,2005,NHS Harrow CCG,Outer,16107.86487,No Pollution Readings,51.5946,-0.33603,51.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2005,NHS Herts Valleys CCG,Outer,29114.52213,Watford,51.7317,-0.45521000000000006,46.05,,,,,,741.3489999999997,,,,,,,122.585,,,,,,,,,,,,156.0,,,37.95879594066547,,35.039582271301235,,24.798499136129173,,
50,2005,NHS Hillingdon CCG,Inner,7458.185529,Hillingdon,51.5366,-0.4418,64.09,,,,,,707.567,,,,,,,166.127,,,,,,,,,,,,56.0,,,42.36138838109275,,,,25.764295038622684,12.105307275202696,
51,2005,NHS Hounslow CCG,Inner,5336.9847119999995,Hounslow,51.4624,-0.37847,65.52,,,,,,984.3610000000001,,,,,,,210.518,,,,,,,,,,,,73.0,0.8392115285668963,49.43905751839656,52.833258304670075,128.40552216974433,34.42601047706647,29.189345081336413,,,4.029333474825582
52,2005,NHS Kingston CCG,Inner,14640.30942,South West London,51.3929,-0.28371999999999997,47.33,,,,,,968.1419999999999,,,,,,,198.68599999999998,,,,,,,,,,,,122.0,,,32.569455642932425,,44.1353614571084,,23.207930104062253,,3.024966778016487
53,2005,NHS Merton CCG,Outer,19616.70838,South West London,51.4106,-0.18867,39.57,,,,,,701.865,,,,,,,149.45600000000005,,,,,,,,,,,,122.0,,,32.569455642932425,,44.1353614571084,,23.207930104062253,,3.024966778016487
54,2005,NHS North West Surrey CCG,Inner,12083.80783,Surrey Heartlands,51.3683,-0.5151899999999999,48.51,,,,,,641.29,,,,,,,128.143,,,,,,,,,,,,139.0,0.24808829259807075,,39.087608784574996,,27.118660348705877,,22.62733366354185,11.96573791453155,2.004275568566363
55,2005,NHS Oxfordshire CCG,Outer,66982.40789,Oxford,51.7715,-1.29146,45.97,,,,,,492.245,,,,,,,120.954,,,,,,,,,,,,90.0,,,49.3628634655282,,39.65282541941564,,25.59443373457876,,
56,2005,NHS Richmond CCG,Inner,11948.41495,South West London,51.4403,-0.28911,46.67,,,,,,689.6139999999997,,,,,,,144.871,,,,,,,,,,,,122.0,,,32.569455642932425,,44.1353614571084,,23.207930104062253,,3.024966778016487
57,2005,NHS Surrey Heath CCG,Outer,23497.23959,No Pollution Readings,51.3281,-0.70434,39.91,,,,,,769.847,,,,,,,115.535,,,,,,,,,,,,,,,,,,,,,
58,2005,NHS Sutton CCG,Outer,23268.28951,South West London,51.3576,-0.17227,46.8,,,,,,762.0010000000003,,,,,,,170.687,,,,,,,,,,,,122.0,,,32.569455642932425,,44.1353614571084,,23.207930104062253,,3.024966778016487
59,2005,NHS Wandsworth CCG,Outer,17762.401869999998,South West London,51.4524,-0.20027999999999999,56.2,,,,,,736.8839999999999,,,,,,,213.132,,,,,,,,,,,,122.0,,,32.569455642932425,,44.1353614571084,,23.207930104062253,,3.024966778016487
60,2006,NHS Berkshire West CCG,Outer,49791.742289999995,Reading,51.4458,-1.16963,50.28,,,2.3215716148238,,,474.358,,,24.0179007098287,,,,97.056,,,251.161576308753,,,,,,,,27.8335811075721,106.0,,,39.60795710469079,,,,,,
61,2006,NHS Brent CCG,Outer,16247.54245,No Pollution Readings,51.5644,-0.27568000000000004,60.56,,,3.56391331040659,,,,,,20.1065031007644,,,,,,,195.379895938163,,,,,,,,29.73969042731689,,,,,,,,,,
62,2006,NHS Buckinghamshire CCG,Outer,38818.06153,No Pollution Readings,51.7414,-0.8064399999999999,43.59,,,2.45416794405829,,,736.253,,,23.3837508337476,,,,88.751,,,210.833533409036,,,,,,,,25.6536125438659,,,,,,,,,,
63,2006,NHS Croydon CCG,Outer,28645.8407,No Pollution Readings,51.36600000000001,-0.07761,49.0,,,2.99,,,,,,30.56,,,,,,,234.91,,,,,,,,41.23,,,,,,,,,,
64,2006,NHS Ealing CCG,Inner,11465.530929999999,Ealing,51.5244,-0.31405,72.51,,,2.72676935531634,,,1226.98,,,25.241722489432203,,,,190.50099999999998,,,228.786987879575,,,,,,,,38.388443248541,3.0,0.7300953061587455,,55.035634660836585,,32.52753876052575,,25.44342468849112,18.450044804007803,6.206311289688668
65,2006,NHS East Berkshire CCG,Outer,15803.713430000002,East Berkshire,51.4541,-0.6802600000000001,55.23,,,1.7698546515931899,,,806.318,,,33.073353473227,,,,131.106,,,260.21839486640204,,,,,,,,31.198376593685,20.0,,,37.778944827299746,,,,23.056505102243108,8.211002494757558,
66,2006,NHS Guildford and Waverley CCG,Outer,33590.83386,Guildford,51.1811,-0.59422,37.33,,,0.0,,,,,,21.9,,,,,,,201.38,,,,,,,,21.6,,,,,,,,,,
67,2006,NHS Hammersmith And Fulham CCG,Outer,16573.14549,Hammersmith and Fulham,51.4873,-0.21735,57.1,,,0.0,,,721.395,,,45.9597476414909,,,,169.327,,,220.59325331905399,,,,,,,,43.2415809754646,41.0,,,61.199159977797244,,,,26.324389623428182,,6.0460267731180295
68,2006,NHS Harrow CCG,Outer,16107.86487,No Pollution Readings,51.5946,-0.33603,46.73,,,1.7836302565400401,,,,,,16.1279031960819,,,,,,,179.648795887555,,,,,,,,28.653139026118,,,,,,,,,,
69,2006,NHS Herts Valleys CCG,Outer,29114.52213,Watford,51.7317,-0.45521000000000006,45.53,,,1.67220827739807,,,681.82,,,32.364403052982304,,,,101.23700000000001,,,207.652669692983,,,,,,,,28.431672642207605,157.0,,,37.26001478305594,,39.207048556135774,,23.5305517946566,,
70,2006,NHS Hillingdon CCG,Inner,7458.185529,Hillingdon,51.5366,-0.4418,62.77,,,3.27833831966683,,,768.904,,,27.3050904979953,,,,131.858,,,239.611618426408,,,,,,,,36.1767857233585,57.0,,,43.41508920551854,,,,25.90212130010352,12.929494478950998,
71,2006,NHS Hounslow CCG,Inner,5336.9847119999995,Hounslow,51.4624,-0.37847,60.52,,,4.1476908524101095,,,867.43,,,40.85789106487221,,,,113.88799999999999,,,285.815139463695,,,,,,,,39.00300079884961,74.0,0.5013910806898613,41.027344243459225,49.388765990455866,112.24793947835276,41.626835958636,27.311610241039354,,,3.0333280360619392
72,2006,NHS Kingston CCG,Inner,14640.30942,South West London,51.3929,-0.28371999999999997,45.67,,,4.92,,,936.0369999999999,,,28.23,,,,173.12400000000005,,,233.69,,,,,,,,35.01,123.0,,,31.926839848196426,,48.323301271993095,,22.97239992698861,,3.4819578766882224
73,2006,NHS Merton CCG,Outer,19616.70838,South West London,51.4106,-0.18867,38.63,,,3.09,,,702.002,,,22.62,,,,134.08700000000002,,,228.39,,,,,,,,28.18,123.0,,,31.926839848196426,,48.323301271993095,,22.97239992698861,,3.4819578766882224
74,2006,NHS North West Surrey CCG,Inner,12083.80783,Surrey Heartlands,51.3683,-0.5151899999999999,43.2,,,1.47,,,568.481,,,29.61,,,,111.421,,,213.41,,,,,,,,26.4,140.0,0.3064918217269941,,35.956973603434136,,52.91518156373235,,22.51965087704162,12.237865972145533,2.114296938813333
75,2006,NHS Oxfordshire CCG,Outer,66982.40789,Oxford,51.7715,-1.29146,42.56,,,1.89530492434237,,,500.81300000000016,,,25.9861146274639,,,,98.096,,,197.88277383365602,,,,,,,,25.4612310316064,91.0,,,38.795507736608755,,45.27446438460312,,28.36875453857893,,
76,2006,NHS Richmond CCG,Inner,11948.41495,South West London,51.4403,-0.28911,41.62,,,0.0,,,606.308,,,30.86,,,,112.25200000000001,,,194.06,,,,,,,,25.88,123.0,,,31.926839848196426,,48.323301271993095,,22.97239992698861,,3.4819578766882224
77,2006,NHS Surrey Heath CCG,Outer,23497.23959,No Pollution Readings,51.3281,-0.70434,43.8,,,,,,640.405,,,27.9129777626958,,,,113.84200000000001,,,213.817472549341,,,,,,,,26.7840430182791,,,,,,,,,,
78,2006,NHS Sutton CCG,Outer,23268.28951,South West London,51.3576,-0.17227,44.6,,,0.0,,,745.1089999999997,,,23.01,,,,121.911,,,229.53,,,,,,,,34.34,123.0,,,31.926839848196426,,48.323301271993095,,22.97239992698861,,3.4819578766882224
79,2006,NHS Wandsworth CCG,Outer,17762.401869999998,South West London,51.4524,-0.20027999999999999,50.96,,,1.92,,,704.591,,,38.38,,,,176.84799999999996,,,274.77,,,,,,,,38.54,123.0,,,31.926839848196426,,48.323301271993095,,22.97239992698861,,3.4819578766882224
80,2007,NHS Berkshire West CCG,Outer,49791.742289999995,Reading,51.4458,-1.16963,44.35,,,2.24746043636357,,,538.476,,,23.986731122660604,,,,94.584,,,245.52648798679797,,,,,,,,25.9250225560436,107.0,,,53.170798373493795,,,,31.67636907340601,,
81,2007,NHS Brent CCG,Outer,16247.54245,No Pollution Readings,51.5644,-0.27568000000000004,57.45,,,3.0381146414738303,,,,,,20.9752372110946,,,,,,,195.012707249558,,,,,,,,29.186682479626498,,,,,,,,,,
82,2007,NHS Buckinghamshire CCG,Outer,38818.06153,No Pollution Readings,51.7414,-0.8064399999999999,41.99,,,2.46690611400708,,,737.982,,,22.8488168974341,,,,102.819,,,208.197597465468,,,,,,,,24.824630065267,,,,,,,,,,
83,2007,NHS Croydon CCG,Outer,28645.8407,No Pollution Readings,51.36600000000001,-0.07761,44.83,,,2.81,,,,,,30.01,,,,,,,230.8,,,,,,,,36.3,,,,,,,,,,
84,2007,NHS Ealing CCG,Inner,11465.530929999999,Ealing,51.5244,-0.31405,70.78,,,3.10881334449148,,,1391.026,,,29.1377920369646,,,,184.65900000000002,,,234.244484672635,,,,,,,,35.2474566247474,4.0,0.6519782013433968,,54.24769082229276,,28.47389078318255,,24.40176890930693,,6.530477737026353
85,2007,NHS East Berkshire CCG,Outer,15803.713430000002,East Berkshire,51.4541,-0.6802600000000001,52.42,,,2.10508039084351,,,805.508,,,33.441139015012695,,,,145.572,,,243.505789509314,,,,,,,,29.6313207730683,21.0,,,38.38131620975304,,,,39.66833846461614,10.1113342936477,
86,2007,NHS Guildford and Waverley CCG,Outer,33590.83386,Guildford,51.1811,-0.59422,35.26,,,0.0,,,,,,24.15,,,,,,,199.97,,,,,,,,22.08,,,,,,,,,,
87,2007,NHS Hammersmith And Fulham CCG,Outer,16573.14549,Hammersmith and Fulham,51.4873,-0.21735,52.85,,,0.0,,,609.58,,,55.3799792808662,,,,158.401,,,238.94174839923198,,,,,,,,36.587326724214286,42.0,,,60.16068460190747,,,,25.63184544971639,,4.742114370779755
88,2007,NHS Harrow CCG,Outer,16107.86487,No Pollution Readings,51.5946,-0.33603,39.2,,,0.0,,,,,,16.7246973409356,,,,,,,186.58351487669998,,,,,,,,28.310915799716,,,,,,,,,,
89,2007,NHS Herts Valleys CCG,Outer,29114.52213,Watford,51.7317,-0.45521000000000006,40.73,,,1.5815467187770105,,,683.9119999999998,,,32.0377241645719,,,,97.215,,,201.212685830542,,,,,,,,25.6994931365132,158.0,,,35.79176019233154,,43.26305339279386,,23.221057177476002,,
90,2007,NHS Hillingdon CCG,Inner,7458.185529,Hillingdon,51.5366,-0.4418,52.52,,,3.3266104300317,,,754.4910000000001,,,27.785227167895695,,,,124.34100000000001,,,230.844448876154,,,,,,,,34.7233686052914,58.0,,,43.447593285463974,,,,26.473562421295263,13.293053087253721,
91,2007,NHS Hounslow CCG,Inner,5336.9847119999995,Hounslow,51.4624,-0.37847,61.04,,,3.4316620192314,,,1009.915,,,42.5446326745589,,,,139.946,,,282.93313950548196,,,,,,,,42.4021676918821,75.0,0.5391916818669604,45.72990925910205,49.496766115917474,119.45842789010977,31.76443718720892,26.70115500296141,,,2.6966763436472205
92,2007,NHS Kingston CCG,Inner,14640.30942,South West London,51.3929,-0.28371999999999997,46.02,,,4.16,,,914.427,,,25.36,,,,170.81799999999996,,,214.59,,,,,,,,31.57,124.0,,,34.15358041700518,,41.214800320076144,,21.57778888112926,,3.7064433399577386
93,2007,NHS Merton CCG,Outer,19616.70838,South West London,51.4106,-0.18867,45.65,,,2.62,,,725.808,,,23.8,,,,155.241,,,219.71,,,,,,,,28.77,124.0,,,34.15358041700518,,41.214800320076144,,21.57778888112926,,3.7064433399577386
94,2007,NHS North West Surrey CCG,Inner,12083.80783,Surrey Heartlands,51.3683,-0.5151899999999999,36.98,,,1.23,,,588.836,,,26.46,,,,126.62299999999999,,,209.74,,,,,,,,24.82,141.0,0.28261814563173626,,35.235327710340194,,35.76231325155799,,22.742162037786255,12.198261361930346,1.6756255327349383
95,2007,NHS Oxfordshire CCG,Outer,66982.40789,Oxford,51.7715,-1.29146,37.05,,,2.50953235078305,,,535.6080000000002,,,26.949143468905,,,,114.61399999999999,,,200.255954161036,,,,,,,,27.655142006644002,92.0,,,40.805458776223844,,39.945394476233226,,25.961704907483877,,
96,2007,NHS Richmond CCG,Inner,11948.41495,South West London,51.4403,-0.28911,37.84,,,0.0,,,635.9730000000002,,,27.95,,,,135.245,,,184.21,,,,,,,,25.92,124.0,,,34.15358041700518,,41.214800320076144,,21.57778888112926,,3.7064433399577386
97,2007,NHS Surrey Heath CCG,Outer,23497.23959,No Pollution Readings,51.3281,-0.70434,43.25,,,,,,559.217,,,23.787913292625,,,,107.57,,,210.554700490592,,,,,,,,29.834456963006,,,,,,,,,,
98,2007,NHS Sutton CCG,Outer,23268.28951,South West London,51.3576,-0.17227,40.69,,,0.0,,,707.888,,,25.72,,,,130.685,,,222.82,,,,,,,,35.37,124.0,,,34.15358041700518,,41.214800320076144,,21.57778888112926,,3.7064433399577386
99,2007,NHS Wandsworth CCG,Outer,17762.401869999998,South West London,51.4524,-0.20027999999999999,50.86,,,2.0,,,749.9,,,37.47,,,,186.71400000000003,,,261.73,,,,,,,,36.36,124.0,,,34.15358041700518,,41.214800320076144,,21.57778888112926,,3.7064433399577386
100,2008,NHS Berkshire West CCG,Outer,49791.742289999995,Reading,51.4458,-1.16963,39.71,,,2.9835547078852303,,,500.026,,,27.044825681107202,,,,107.249,,,235.927736852874,,,,,,,,25.876173930050307,108.0,,,43.44185020430232,,,,24.531072679147282,,
101,2008,NHS Brent CCG,Outer,16247.54245,No Pollution Readings,51.5644,-0.27568000000000004,53.21,,,3.21479520473663,,,,,,24.4403260850735,,,,,,,199.30313141168705,,,,,,,,28.164649712876702,,,,,,,,,,
102,2008,NHS Buckinghamshire CCG,Outer,38818.06153,No Pollution Readings,51.7414,-0.8064399999999999,37.24,,,2.94678093621356,,,643.779,,,22.5339084150319,,,,93.334,,,203.16153439733398,,,,,,,,24.64486296907549,,,,,,,,,,
103,2008,NHS Croydon CCG,Outer,28645.8407,No Pollution Readings,51.36600000000001,-0.07761,43.65,,,1.58,,,,,,29.35,,,,,,,237.57,,,,,,,,36.35,,,,,,,,,,
104,2008,NHS Ealing CCG,Inner,11465.530929999999,Ealing,51.5244,-0.31405,65.23,,,2.9829969085407204,,,1222.556,,,31.7703635775153,,,,203.52200000000002,,,241.97571509398202,,,,,,,,36.3702072002943,5.0,0.5025170231624833,,58.84837107652069,,29.08530456902247,,22.141474808333786,11.795320539967484,5.65665184406967
105,2008,NHS East Berkshire CCG,Outer,15803.713430000002,East Berkshire,51.4541,-0.6802600000000001,49.03,,,2.15902190186892,,,725.533,,,32.3811305816104,,,,140.468,,,237.12441112659698,,,,,,,,29.3801056449608,22.0,,,37.393604191458785,,,,25.211123348414983,8.040837159745237,
106,2008,NHS Guildford and Waverley CCG,Outer,33590.83386,Guildford,51.1811,-0.59422,32.7,,,1.9,,,,,,24.12,,,,,,,204.12,,,,,,,,19.56,35.0,,,,,,,53.28857495481928,,
107,2008,NHS Hammersmith And Fulham CCG,Outer,16573.14549,Hammersmith and Fulham,51.4873,-0.21735,48.57,,,0.0,,,496.36699999999996,,,57.8025475520644,,,,119.84700000000001,,,235.368626407117,,,,,,,,39.9929980062583,43.0,,,56.576835543981936,,,,25.86377199037103,,
108,2008,NHS Harrow CCG,Outer,16107.86487,No Pollution Readings,51.5946,-0.33603,39.39,,,0.0,,,,,,15.8633098720506,,,,,,,178.30596049594502,,,,,,,,27.4820275889577,,,,,,,,,,
109,2008,NHS Herts Valleys CCG,Outer,29114.52213,Watford,51.7317,-0.45521000000000006,35.72,,,1.60760520881999,,,598.813,,,33.376463901550395,,,,109.16799999999999,,,207.348926394029,,,,,,,,25.543866288656698,159.0,,,33.70004099844073,,,,21.123615861857893,,
