,Date,CCG,Pollutant,Indicator Value (R µg/m3)
249,2019,Hillingdon,Nitric Oxide,
250,2020,Hillingdon,Nitric Oxide,
251,2004,Hounslow,Nitric Oxide,50.48542333803122
252,2005,Hounslow,Nitric Oxide,49.43905751839656
253,2006,Hounslow,Nitric Oxide,41.02734424345923
254,2007,Hounslow,Nitric Oxide,45.72990925910205
255,2008,Hounslow,Nitric Oxide,40.84054962699075
256,2009,Hounslow,Nitric Oxide,38.042349701234194
257,2010,Hounslow,Nitric Oxide,32.643407485623364
258,2011,Hounslow,Nitric Oxide,34.46007316438599
259,2012,Hounslow,Nitric Oxide,42.47640685450005
260,2013,Hounslow,Nitric Oxide,42.81351359211836
261,2014,Hounslow,Nitric Oxide,42.56400003794261
262,2015,Hounslow,Nitric Oxide,35.804772522254936
263,2016,Hounslow,Nitric Oxide,44.262821870941984
264,2017,Hounslow,Nitric Oxide,39.159836481232226
265,2018,Hounslow,Nitric Oxide,27.602065990598756
266,2019,Hounslow,Nitric Oxide,24.366061161613917
267,2020,Hounslow,Nitric Oxide,15.773699114808943
268,2004,Oxford,Nitric Oxide,
269,2005,Oxford,Nitric Oxide,
270,2006,Oxford,Nitric Oxide,
271,2007,Oxford,Nitric Oxide,
272,2008,Oxford,Nitric Oxide,
273,2009,Oxford,Nitric Oxide,
274,2010,Oxford,Nitric Oxide,
275,2011,Oxford,Nitric Oxide,
276,2012,Oxford,Nitric Oxide,
277,2013,Oxford,Nitric Oxide,
278,2014,Oxford,Nitric Oxide,
279,2015,Oxford,Nitric Oxide,
280,2016,Oxford,Nitric Oxide,
281,2017,Oxford,Nitric Oxide,
282,2018,Oxford,Nitric Oxide,
283,2019,Oxford,Nitric Oxide,
284,2020,Oxford,Nitric Oxide,
285,2006,Oxfordshire,Nitric Oxide,
286,2007,Oxfordshire,Nitric Oxide,
287,2008,Oxfordshire,Nitric Oxide,
288,2009,Oxfordshire,Nitric Oxide,
289,2010,Oxfordshire,Nitric Oxide,
290,2011,Oxfordshire,Nitric Oxide,
291,2012,Oxfordshire,Nitric Oxide,
292,2013,Oxfordshire,Nitric Oxide,
293,2014,Oxfordshire,Nitric Oxide,
294,2015,Oxfordshire,Nitric Oxide,
295,2016,Oxfordshire,Nitric Oxide,
296,2017,Oxfordshire,Nitric Oxide,
297,2018,Oxfordshire,Nitric Oxide,
298,2019,Oxfordshire,Nitric Oxide,
299,2020,Oxfordshire,Nitric Oxide,
300,2006,Reading,Nitric Oxide,
301,2007,Reading,Nitric Oxide,
302,2008,Reading,Nitric Oxide,
303,2009,Reading,Nitric Oxide,
304,2010,Reading,Nitric Oxide,
305,2011,Reading,Nitric Oxide,
306,2012,Reading,Nitric Oxide,
307,2013,Reading,Nitric Oxide,
308,2014,Reading,Nitric Oxide,
309,2015,Reading,Nitric Oxide,
310,2016,Reading,Nitric Oxide,
311,2017,Reading,Nitric Oxide,
312,2018,Reading,Nitric Oxide,
313,2019,Reading,Nitric Oxide,
314,2020,Reading,Nitric Oxide,
315,2004,South West London,Nitric Oxide,
316,2005,South West London,Nitric Oxide,
317,2006,South West London,Nitric Oxide,
318,2007,South West London,Nitric Oxide,
319,2008,South West London,Nitric Oxide,
320,2009,South West London,Nitric Oxide,
321,2010,South West London,Nitric Oxide,
322,2011,South West London,Nitric Oxide,
323,2012,South West London,Nitric Oxide,
324,2013,South West London,Nitric Oxide,
325,2014,South West London,Nitric Oxide,
326,2015,South West London,Nitric Oxide,
327,2016,South West London,Nitric Oxide,
328,2017,South West London,Nitric Oxide,
329,2018,South West London,Nitric Oxide,
330,2019,South West London,Nitric Oxide,
331,2020,South West London,Nitric Oxide,
332,2004,Surrey Heartlands,Nitric Oxide,
333,2005,Surrey Heartlands,Nitric Oxide,
334,2006,Surrey Heartlands,Nitric Oxide,
335,2007,Surrey Heartlands,Nitric Oxide,
336,2008,Surrey Heartlands,Nitric Oxide,
337,2009,Surrey Heartlands,Nitric Oxide,
338,2010,Surrey Heartlands,Nitric Oxide,
339,2011,Surrey Heartlands,Nitric Oxide,
340,2012,Surrey Heartlands,Nitric Oxide,
341,2013,Surrey Heartlands,Nitric Oxide,
342,2014,Surrey Heartlands,Nitric Oxide,
343,2015,Surrey Heartlands,Nitric Oxide,
344,2016,Surrey Heartlands,Nitric Oxide,
345,2017,Surrey Heartlands,Nitric Oxide,
346,2018,Surrey Heartlands,Nitric Oxide,
347,2019,Surrey Heartlands,Nitric Oxide,
348,2020,Surrey Heartlands,Nitric Oxide,
349,2004,Watford,Nitric Oxide,
350,2005,Watford,Nitric Oxide,
351,2006,Watford,Nitric Oxide,
352,2007,Watford,Nitric Oxide,
353,2008,Watford,Nitric Oxide,
354,2009,Watford,Nitric Oxide,
355,2010,Watford,Nitric Oxide,
356,2011,Watford,Nitric Oxide,
357,2012,Watford,Nitric Oxide,
358,2013,Watford,Nitric Oxide,
359,2014,Watford,Nitric Oxide,
360,2015,Watford,Nitric Oxide,
361,2016,Watford,Nitric Oxide,
362,2017,Watford,Nitric Oxide,
363,2018,Watford,Nitric Oxide,
364,2019,Watford,Nitric Oxide,
365,2020,Watford,Nitric Oxide,
366,2020,Buckinghamshire,Nitrogen dioxide,33.04202959964874
367,2004,Ealing,Nitrogen dioxide,57.882937645478684
368,2005,Ealing,Nitrogen dioxide,52.86297396999513
369,2006,Ealing,Nitrogen dioxide,55.03563466083658
370,2007,Ealing,Nitrogen dioxide,54.24769082229276
371,2008,Ealing,Nitrogen dioxide,58.84837107652069
372,2009,Ealing,Nitrogen dioxide,56.8886387733401
373,2010,Ealing,Nitrogen dioxide,57.182302664915824
374,2011,Ealing,Nitrogen dioxide,50.39484565398761
375,2012,Ealing,Nitrogen dioxide,55.933676193527425
376,2013,Ealing,Nitrogen dioxide,51.82006763521714
377,2014,Ealing,Nitrogen dioxide,48.731111831016875
378,2015,Ealing,Nitrogen dioxide,57.43133182161743
379,2016,Ealing,Nitrogen dioxide,56.98691878740693
380,2017,Ealing,Nitrogen dioxide,54.559601376011564
381,2018,Ealing,Nitrogen dioxide,50.027932519595026
382,2019,Ealing,Nitrogen dioxide,46.56658076254765
383,2020,Ealing,Nitrogen dioxide,33.29407531490893
384,2004,East Berkshire,Nitrogen dioxide,32.56806589466603
385,2005,East Berkshire,Nitrogen dioxide,37.418354508315105
386,2006,East Berkshire,Nitrogen dioxide,37.77894482729974
387,2007,East Berkshire,Nitrogen dioxide,38.38131620975304
388,2008,East Berkshire,Nitrogen dioxide,37.39360419145878
389,2009,East Berkshire,Nitrogen dioxide,34.64011599805646
390,2010,East Berkshire,Nitrogen dioxide,35.734207306080094
391,2011,East Berkshire,Nitrogen dioxide,36.02852741067302
392,2012,East Berkshire,Nitrogen dioxide,34.224927861323145
393,2013,East Berkshire,Nitrogen dioxide,33.90456884493743
394,2014,East Berkshire,Nitrogen dioxide,34.18785703272831
395,2015,East Berkshire,Nitrogen dioxide,31.191648440520858
396,2016,East Berkshire,Nitrogen dioxide,33.08942676359658
397,2017,East Berkshire,Nitrogen dioxide,33.94460608087713
398,2018,East Berkshire,Nitrogen dioxide,33.03361569192257
399,2019,East Berkshire,Nitrogen dioxide,29.479909068729604
400,2020,East Berkshire,Nitrogen dioxide,21.927106381086343
401,2004,Hammersmith and Fulham,Nitrogen dioxide,58.65570661839905
402,2005,Hammersmith and Fulham,Nitrogen dioxide,52.32533658933799
403,2006,Hammersmith and Fulham,Nitrogen dioxide,61.19915997779724
404,2007,Hammersmith and Fulham,Nitrogen dioxide,60.16068460190748
405,2008,Hammersmith and Fulham,Nitrogen dioxide,56.57683554398193
406,2009,Hammersmith and Fulham,Nitrogen dioxide,50.33713471889953
407,2011,Hammersmith and Fulham,Nitrogen dioxide,83.64898474419026
408,2012,Hammersmith and Fulham,Nitrogen dioxide,92.04156192063498
409,2013,Hammersmith and Fulham,Nitrogen dioxide,77.7979631649266
410,2014,Hammersmith and Fulham,Nitrogen dioxide,80.75805644668205
411,2015,Hammersmith and Fulham,Nitrogen dioxide,77.25785099746336
412,2016,Hammersmith and Fulham,Nitrogen dioxide,74.93779640620328
413,2017,Hammersmith and Fulham,Nitrogen dioxide,76.80877754472597
414,2018,Hammersmith and Fulham,Nitrogen dioxide,71.46410514612711
415,2019,Hammersmith and Fulham,Nitrogen dioxide,56.54904937743879
416,2020,Hammersmith and Fulham,Nitrogen dioxide,38.66501663087102
417,2004,Hillingdon,Nitrogen dioxide,44.52378546501192
418,2005,Hillingdon,Nitrogen dioxide,42.36138838109275
419,2006,Hillingdon,Nitrogen dioxide,43.41508920551854
420,2007,Hillingdon,Nitrogen dioxide,43.447593285463974
421,2008,Hillingdon,Nitrogen dioxide,41.98353462354277
422,2009,Hillingdon,Nitrogen dioxide,43.668143552595566
423,2010,Hillingdon,Nitrogen dioxide,42.322398716902576
424,2011,Hillingdon,Nitrogen dioxide,41.2600780112149
425,2012,Hillingdon,Nitrogen dioxide,41.39339736427314
426,2013,Hillingdon,Nitrogen dioxide,39.89078003122446
427,2014,Hillingdon,Nitrogen dioxide,40.06166650437836
428,2015,Hillingdon,Nitrogen dioxide,38.133528245257864
429,2016,Hillingdon,Nitrogen dioxide,39.215095752580055
430,2017,Hillingdon,Nitrogen dioxide,38.54488049670582
431,2018,Hillingdon,Nitrogen dioxide,34.64942881641135
432,2019,Hillingdon,Nitrogen dioxide,35.369661686294464
433,2020,Hillingdon,Nitrogen dioxide,24.16625393524079
434,2004,Hounslow,Nitrogen dioxide,57.17140222562964
435,2005,Hounslow,Nitrogen dioxide,52.833258304670075
436,2006,Hounslow,Nitrogen dioxide,49.38876599045587
437,2007,Hounslow,Nitrogen dioxide,49.496766115917474
438,2008,Hounslow,Nitrogen dioxide,50.79522351374721
439,2009,Hounslow,Nitrogen dioxide,49.28868693368281
440,2010,Hounslow,Nitrogen dioxide,43.58286132882462
441,2011,Hounslow,Nitrogen dioxide,44.513516593846674
442,2012,Hounslow,Nitrogen dioxide,44.75177720684012
443,2013,Hounslow,Nitrogen dioxide,48.00775854848623
444,2014,Hounslow,Nitrogen dioxide,44.91178243490026
445,2015,Hounslow,Nitrogen dioxide,41.635070595937705
446,2016,Hounslow,Nitrogen dioxide,43.95647106732182
447,2017,Hounslow,Nitrogen dioxide,42.94356382930549
448,2018,Hounslow,Nitrogen dioxide,36.222803639731026
449,2019,Hounslow,Nitrogen dioxide,32.22451477023915
450,2020,Hounslow,Nitrogen dioxide,26.898692763687517
451,2004,Oxford,Nitrogen dioxide,63.54589708734695
452,2005,Oxford,Nitrogen dioxide,49.3628634655282
453,2006,Oxford,Nitrogen dioxide,55.82056537600665
454,2007,Oxford,Nitrogen dioxide,58.2570257172085
455,2008,Oxford,Nitrogen dioxide,54.46001588132086
456,2009,Oxford,Nitrogen dioxide,54.83390174698989
457,2010,Oxford,Nitrogen dioxide,60.2597463623483
458,2011,Oxford,Nitrogen dioxide,52.55301708890414
459,2012,Oxford,Nitrogen dioxide,57.90691997301865
460,2013,Oxford,Nitrogen dioxide,52.14528026173364
461,2014,Oxford,Nitrogen dioxide,46.94715972977029
462,2015,Oxford,Nitrogen dioxide,44.0889587691537
463,2016,Oxford,Nitrogen dioxide,46.67459206495556
464,2017,Oxford,Nitrogen dioxide,39.27658523841465
465,2018,Oxford,Nitrogen dioxide,39.217792603660676
466,2019,Oxford,Nitrogen dioxide,39.691510976416815
467,2020,Oxford,Nitrogen dioxide,28.00686834887908
468,2006,Oxfordshire,Nitrogen dioxide,30.282978916909812
469,2007,Oxfordshire,Nitrogen dioxide,32.07967530573151
470,2008,Oxfordshire,Nitrogen dioxide,27.564849481292292
471,2009,Oxfordshire,Nitrogen dioxide,28.89948525929293
472,2010,Oxfordshire,Nitrogen dioxide,19.990023377320544
473,2011,Oxfordshire,Nitrogen dioxide,25.666058407644762
474,2012,Oxfordshire,Nitrogen dioxide,30.397873741207963
475,2013,Oxfordshire,Nitrogen dioxide,33.641958634250386
476,2014,Oxfordshire,Nitrogen dioxide,35.77803231403937
477,2015,Oxfordshire,Nitrogen dioxide,30.523363358333174
478,2016,Oxfordshire,Nitrogen dioxide,30.31220041263764
479,2017,Oxfordshire,Nitrogen dioxide,28.23634429722517
480,2018,Oxfordshire,Nitrogen dioxide,29.03942764230655
481,2019,Oxfordshire,Nitrogen dioxide,28.616542391550354
482,2020,Oxfordshire,Nitrogen dioxide,23.21017174036652
483,2006,Reading,Nitrogen dioxide,39.60795710469079
484,2007,Reading,Nitrogen dioxide,53.1707983734938
485,2008,Reading,Nitrogen dioxide,43.44185020430232
486,2009,Reading,Nitrogen dioxide,44.31432601127335
487,2010,Reading,Nitrogen dioxide,46.98932919533532
488,2011,Reading,Nitrogen dioxide,45.95638545298772
489,2012,Reading,Nitrogen dioxide,46.206437227803576
490,2013,Reading,Nitrogen dioxide,47.01425269888338
491,2014,Reading,Nitrogen dioxide,41.87001978274143
492,2015,Reading,Nitrogen dioxide,38.86213980675558
493,2016,Reading,Nitrogen dioxide,36.666143844855114
494,2017,Reading,Nitrogen dioxide,32.16093530989688
495,2018,Reading,Nitrogen dioxide,34.20268062480706
496,2019,Reading,Nitrogen dioxide,30.42589734789974
497,2020,Reading,Nitrogen dioxide,22.33796048298362
498,2004,South West London,Nitrogen dioxide,32.17711972637567
499,2005,South West London,Nitrogen dioxide,32.569455642932425
500,2006,South West London,Nitrogen dioxide,31.926839848196426
501,2007,South West London,Nitrogen dioxide,34.15358041700518
502,2008,South West London,Nitrogen dioxide,32.64468201507018
503,2009,South West London,Nitrogen dioxide,32.07963126540219
504,2010,South West London,Nitrogen dioxide,32.28260224442476
505,2011,South West London,Nitrogen dioxide,28.879385197631738
506,2012,South West London,Nitrogen dioxide,32.36548537618226
507,2013,South West London,Nitrogen dioxide,28.02409971414673
508,2014,South West London,Nitrogen dioxide,29.834611262268897
509,2015,South West London,Nitrogen dioxide,35.243208453222444
510,2016,South West London,Nitrogen dioxide,38.98231118585333
511,2017,South West London,Nitrogen dioxide,34.39632396676987
512,2018,South West London,Nitrogen dioxide,36.08289063549953
513,2019,South West London,Nitrogen dioxide,34.0500938213921
514,2020,South West London,Nitrogen dioxide,24.029461325226617
515,2004,Surrey Heartlands,Nitrogen dioxide,30.98402547904986
516,2005,Surrey Heartlands,Nitrogen dioxide,39.087608784575
517,2006,Surrey Heartlands,Nitrogen dioxide,35.956973603434136
518,2007,Surrey Heartlands,Nitrogen dioxide,35.235327710340194
519,2008,Surrey Heartlands,Nitrogen dioxide,39.31548685452444
520,2009,Surrey Heartlands,Nitrogen dioxide,41.75801812637368
521,2010,Surrey Heartlands,Nitrogen dioxide,47.63208384522626
522,2011,Surrey Heartlands,Nitrogen dioxide,41.291381805335384
523,2012,Surrey Heartlands,Nitrogen dioxide,40.95292965944561
524,2013,Surrey Heartlands,Nitrogen dioxide,38.897819534794785
525,2014,Surrey Heartlands,Nitrogen dioxide,37.44271441538056
526,2015,Surrey Heartlands,Nitrogen dioxide,31.98424121001736
527,2016,Surrey Heartlands,Nitrogen dioxide,34.76534018316527
528,2017,Surrey Heartlands,Nitrogen dioxide,34.2162207572931
529,2018,Surrey Heartlands,Nitrogen dioxide,32.69663294196845
530,2019,Surrey Heartlands,Nitrogen dioxide,32.366845333677134
531,2020,Surrey Heartlands,Nitrogen dioxide,23.290149946984346
532,2004,Watford,Nitrogen dioxide,38.83654703549304
533,2005,Watford,Nitrogen dioxide,37.95879594066547
534,2006,Watford,Nitrogen dioxide,37.26001478305594
535,2007,Watford,Nitrogen dioxide,35.79176019233154
536,2008,Watford,Nitrogen dioxide,33.70004099844073
537,2009,Watford,Nitrogen dioxide,39.265491325625455
538,2010,Watford,Nitrogen dioxide,38.79100702531181
539,2011,Watford,Nitrogen dioxide,38.54786485792271
540,2012,Watford,Nitrogen dioxide,38.5531932333797
541,2013,Watford,Nitrogen dioxide,39.23086827290806
542,2014,Watford,Nitrogen dioxide,39.91325294937453
543,2015,Watford,Nitrogen dioxide,35.147554524912515
544,2016,Watford,Nitrogen dioxide,35.56754625929749
545,2017,Watford,Nitrogen dioxide,32.594032118045554
546,2018,Watford,Nitrogen dioxide,31.861290743592768
547,2019,Watford,Nitrogen dioxide,30.165464311389666
548,2020,Watford,Nitrogen dioxide,20.81302206171813
549,2020,Buckinghamshire,Oxides of Nitrogen,
550,2004,Ealing,Oxides of Nitrogen,
551,2005,Ealing,Oxides of Nitrogen,
552,2006,Ealing,Oxides of Nitrogen,
553,2007,Ealing,Oxides of Nitrogen,
554,2008,Ealing,Oxides of Nitrogen,
555,2009,Ealing,Oxides of Nitrogen,
