,Indicator Full Name,Indicator,Area Name,Radius,Year,Time period,Mortality Rate
19,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS East Berkshire CCG,Inner,2009,2009 - 11,29.567701196798602
20,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Ealing CCG,Inner,2010,2010 - 12,34.2132213193597
21,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,2010,2010 - 12,33.6477796308702
22,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hounslow CCG,Inner,2010,2010 - 12,33.8404769224762
23,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Buckinghamshire CCG,Inner,2010,2010 - 12,23.203703591933998
24,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS East Berkshire CCG,Inner,2010,2010 - 12,28.7460188755604
25,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Ealing CCG,Inner,2011,2011 - 13,30.5349940184054
26,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,2011,2011 - 13,30.927267125109402
27,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hounslow CCG,Inner,2011,2011 - 13,34.049702559322
28,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Buckinghamshire CCG,Inner,2011,2011 - 13,19.5115195934638
29,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS East Berkshire CCG,Inner,2011,2011 - 13,27.5934653004516
30,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Ealing CCG,Inner,2012,2012 - 14,31.0105174247062
31,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,2012,2012 - 14,30.478241250547
32,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hounslow CCG,Inner,2012,2012 - 14,33.735048179001396
33,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Buckinghamshire CCG,Inner,2012,2012 - 14,19.1998512435699
34,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS East Berkshire CCG,Inner,2012,2012 - 14,27.613544934791197
35,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Ealing CCG,Inner,2013,2013 - 15,30.7948446048833
36,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,2013,2013 - 15,27.9446180006812
37,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hounslow CCG,Inner,2013,2013 - 15,36.0552361252494
38,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Buckinghamshire CCG,Inner,2013,2013 - 15,19.82263888246469
39,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS East Berkshire CCG,Inner,2013,2013 - 15,26.1693349930075
40,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Ealing CCG,Inner,2014,2014 - 16,32.08054945619001
41,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,2014,2014 - 16,27.7632502953777
42,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hounslow CCG,Inner,2014,2014 - 16,34.3627665752023
43,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Buckinghamshire CCG,Inner,2014,2014 - 16,21.6444232535634
44,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS East Berkshire CCG,Inner,2014,2014 - 16,29.0599735213409
45,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Ealing CCG,Inner,2015,2015 - 17,28.7533355755385
46,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,2015,2015 - 17,28.0998277042167
47,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hounslow CCG,Inner,2015,2015 - 17,30.7986517471625
48,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Buckinghamshire CCG,Inner,2015,2015 - 17,22.2120630645971
49,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS East Berkshire CCG,Inner,2015,2015 - 17,29.541480001123
50,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Ealing CCG,Inner,2016,2016 - 18,30.774326438057102
51,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,2016,2016 - 18,28.1630532883202
52,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hounslow CCG,Inner,2016,2016 - 18,29.4769528809636
53,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Buckinghamshire CCG,Inner,2016,2016 - 18,19.8281564440607
54,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS East Berkshire CCG,Inner,2016,2016 - 18,32.1739145921297
55,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Ealing CCG,Inner,2017,2017 - 19,30.2634947272868
56,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,2017,2017 - 19,30.3875285161779
57,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hounslow CCG,Inner,2017,2017 - 19,27.136209739868196
58,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Buckinghamshire CCG,Inner,2017,2017 - 19,18.7265139559745
59,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS East Berkshire CCG,Inner,2017,2017 - 19,30.676721468310298
60,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Ealing CCG,Inner,2006,2006 - 08,38.388443248541
61,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,2006,2006 - 08,36.1767857233585
62,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hounslow CCG,Inner,2006,2006 - 08,39.00300079884961
63,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS North West Surrey CCG,Inner,2006,2006 - 08,26.4
64,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Buckinghamshire CCG,Inner,2006,2006 - 08,25.6536125438659
65,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS East Berkshire CCG,Inner,2006,2006 - 08,31.198376593685
66,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Ealing CCG,Inner,2007,2007 - 09,35.2474566247474
67,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,2007,2007 - 09,34.7233686052914
68,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hounslow CCG,Inner,2007,2007 - 09,42.4021676918821
69,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS North West Surrey CCG,Inner,2007,2007 - 09,24.82
70,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Buckinghamshire CCG,Inner,2007,2007 - 09,24.824630065267
71,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS East Berkshire CCG,Inner,2007,2007 - 09,29.6313207730683
72,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Ealing CCG,Inner,2008,2008 - 10,36.3702072002943
73,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,2008,2008 - 10,34.4573233182519
74,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hounslow CCG,Inner,2008,2008 - 10,38.9829406464005
75,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS North West Surrey CCG,Inner,2008,2008 - 10,27.43
76,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Buckinghamshire CCG,Inner,2008,2008 - 10,24.64486296907549
77,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS East Berkshire CCG,Inner,2008,2008 - 10,29.3801056449608
78,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Ealing CCG,Inner,2009,2009 - 11,35.305082144957
79,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,2009,2009 - 11,30.7374860127874
80,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hounslow CCG,Inner,2009,2009 - 11,39.163753024015605
81,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS North West Surrey CCG,Inner,2009,2009 - 11,28.21
82,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Buckinghamshire CCG,Inner,2009,2009 - 11,23.67329885482389
83,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS East Berkshire CCG,Inner,2009,2009 - 11,29.567701196798602
84,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Ealing CCG,Inner,2010,2010 - 12,34.2132213193597
85,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,2010,2010 - 12,33.6477796308702
86,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hounslow CCG,Inner,2010,2010 - 12,33.8404769224762
87,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS North West Surrey CCG,Inner,2010,2010 - 12,27.27
88,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Buckinghamshire CCG,Inner,2010,2010 - 12,23.203703591933998
89,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS East Berkshire CCG,Inner,2010,2010 - 12,28.7460188755604
90,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Ealing CCG,Inner,2011,2011 - 13,30.5349940184054
91,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,2011,2011 - 13,30.927267125109402
92,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hounslow CCG,Inner,2011,2011 - 13,34.049702559322
93,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS North West Surrey CCG,Inner,2011,2011 - 13,23.5
94,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Buckinghamshire CCG,Inner,2011,2011 - 13,19.5115195934638
95,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS East Berkshire CCG,Inner,2011,2011 - 13,27.5934653004516
96,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Ealing CCG,Inner,2012,2012 - 14,31.0105174247062
97,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,2012,2012 - 14,30.478241250547
98,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hounslow CCG,Inner,2012,2012 - 14,33.735048179001396
99,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS North West Surrey CCG,Inner,2012,2012 - 14,22.72
100,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Buckinghamshire CCG,Inner,2012,2012 - 14,19.1998512435699
101,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS East Berkshire CCG,Inner,2012,2012 - 14,27.613544934791197
102,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Ealing CCG,Inner,2013,2013 - 15,30.7948446048833
103,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,2013,2013 - 15,27.9446180006812
104,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hounslow CCG,Inner,2013,2013 - 15,36.0552361252494
105,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS North West Surrey CCG,Inner,2013,2013 - 15,24.72
106,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Buckinghamshire CCG,Inner,2013,2013 - 15,19.82263888246469
107,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS East Berkshire CCG,Inner,2013,2013 - 15,26.1693349930075
108,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Ealing CCG,Inner,2014,2014 - 16,32.08054945619001
109,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,2014,2014 - 16,27.7632502953777
110,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hounslow CCG,Inner,2014,2014 - 16,34.3627665752023
111,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS North West Surrey CCG,Inner,2014,2014 - 16,27.55
112,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Buckinghamshire CCG,Inner,2014,2014 - 16,21.6444232535634
113,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS East Berkshire CCG,Inner,2014,2014 - 16,29.0599735213409
114,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Ealing CCG,Inner,2015,2015 - 17,28.7533355755385
115,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,2015,2015 - 17,28.0998277042167
116,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hounslow CCG,Inner,2015,2015 - 17,30.7986517471625
117,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS North West Surrey CCG,Inner,2015,2015 - 17,29.25
118,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Buckinghamshire CCG,Inner,2015,2015 - 17,22.2120630645971
119,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS East Berkshire CCG,Inner,2015,2015 - 17,29.541480001123
120,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Ealing CCG,Inner,2016,2016 - 18,30.774326438057102
121,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,2016,2016 - 18,28.1630532883202
122,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hounslow CCG,Inner,2016,2016 - 18,29.4769528809636
123,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS North West Surrey CCG,Inner,2016,2016 - 18,28.25
124,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Buckinghamshire CCG,Inner,2016,2016 - 18,19.8281564440607
125,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS East Berkshire CCG,Inner,2016,2016 - 18,32.1739145921297
126,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Ealing CCG,Inner,2017,2017 - 19,30.2634947272868
127,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,2017,2017 - 19,30.3875285161779
128,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Hounslow CCG,Inner,2017,2017 - 19,27.136209739868196
129,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS Buckinghamshire CCG,Inner,2017,2017 - 19,18.7265139559745
130,Under 75 mortality rate from respiratory disease,Under 75 Resp Disease,NHS East Berkshire CCG,Inner,2017,2017 - 19,30.676721468310298
131,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Ealing CCG,Inner,2006,2006 - 08,228.786987879575
132,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hillingdon CCG,Inner,2006,2006 - 08,239.611618426408
133,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hounslow CCG,Inner,2006,2006 - 08,285.815139463695
134,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Buckinghamshire CCG,Inner,2006,2006 - 08,210.833533409036
135,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS East Berkshire CCG,Inner,2006,2006 - 08,260.21839486640204
136,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Ealing CCG,Inner,2007,2007 - 09,234.244484672635
137,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hillingdon CCG,Inner,2007,2007 - 09,230.844448876154
138,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hounslow CCG,Inner,2007,2007 - 09,282.93313950548196
139,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Buckinghamshire CCG,Inner,2007,2007 - 09,208.197597465468
140,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS East Berkshire CCG,Inner,2007,2007 - 09,243.505789509314
141,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Ealing CCG,Inner,2008,2008 - 10,241.97571509398202
142,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hillingdon CCG,Inner,2008,2008 - 10,231.697709921652
143,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hounslow CCG,Inner,2008,2008 - 10,268.97059845561796
144,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Buckinghamshire CCG,Inner,2008,2008 - 10,203.16153439733398
145,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS East Berkshire CCG,Inner,2008,2008 - 10,237.12441112659698
146,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Ealing CCG,Inner,2009,2009 - 11,246.39752837877003
147,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hillingdon CCG,Inner,2009,2009 - 11,225.07057358600602
148,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hounslow CCG,Inner,2009,2009 - 11,240.116282745855
149,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Buckinghamshire CCG,Inner,2009,2009 - 11,194.297860113069
150,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS East Berkshire CCG,Inner,2009,2009 - 11,227.372248997623
151,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Ealing CCG,Inner,2010,2010 - 12,241.37590581747799
152,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hillingdon CCG,Inner,2010,2010 - 12,224.361912469742
153,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hounslow CCG,Inner,2010,2010 - 12,233.94710888627202
154,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Buckinghamshire CCG,Inner,2010,2010 - 12,186.433751102559
155,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS East Berkshire CCG,Inner,2010,2010 - 12,226.73676852742
156,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Ealing CCG,Inner,2011,2011 - 13,233.855014347258
157,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hillingdon CCG,Inner,2011,2011 - 13,215.463531366937
158,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hounslow CCG,Inner,2011,2011 - 13,243.393209019077
159,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Buckinghamshire CCG,Inner,2011,2011 - 13,176.75933171753996
160,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS East Berkshire CCG,Inner,2011,2011 - 13,222.63990251076598
161,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Ealing CCG,Inner,2012,2012 - 14,221.71304989136502
162,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hillingdon CCG,Inner,2012,2012 - 14,207.770265486781
163,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hounslow CCG,Inner,2012,2012 - 14,240.47057415899897
164,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Buckinghamshire CCG,Inner,2012,2012 - 14,168.290134602018
165,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS East Berkshire CCG,Inner,2012,2012 - 14,215.045992119036
166,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Ealing CCG,Inner,2013,2013 - 15,213.746271456144
167,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hillingdon CCG,Inner,2013,2013 - 15,217.79651944334702
168,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hounslow CCG,Inner,2013,2013 - 15,223.672065132827
169,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Buckinghamshire CCG,Inner,2013,2013 - 15,165.99979518383302
170,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS East Berkshire CCG,Inner,2013,2013 - 15,209.67467019038898
171,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Ealing CCG,Inner,2014,2014 - 16,201.11930543156
172,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hillingdon CCG,Inner,2014,2014 - 16,215.44927795303286
173,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hounslow CCG,Inner,2014,2014 - 16,208.915265126599
174,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Buckinghamshire CCG,Inner,2014,2014 - 16,161.95909068558996
175,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS East Berkshire CCG,Inner,2014,2014 - 16,204.79653443389
176,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Ealing CCG,Inner,2015,2015 - 17,196.193501630313
177,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hillingdon CCG,Inner,2015,2015 - 17,211.404964005589
178,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hounslow CCG,Inner,2015,2015 - 17,208.46903441474498
179,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Buckinghamshire CCG,Inner,2015,2015 - 17,163.690380264101
180,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS East Berkshire CCG,Inner,2015,2015 - 17,198.474784499994
181,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Ealing CCG,Inner,2016,2016 - 18,189.21071256894797
182,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hillingdon CCG,Inner,2016,2016 - 18,201.38205259658298
183,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hounslow CCG,Inner,2016,2016 - 18,204.58736388142103
184,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Buckinghamshire CCG,Inner,2016,2016 - 18,155.49604607014402
185,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS East Berkshire CCG,Inner,2016,2016 - 18,186.33808239131199
186,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Ealing CCG,Inner,2017,2017 - 19,181.608593758601
187,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hillingdon CCG,Inner,2017,2017 - 19,201.246746609023
188,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hounslow CCG,Inner,2017,2017 - 19,191.336635022544
189,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Buckinghamshire CCG,Inner,2017,2017 - 19,148.297996712286
190,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS East Berkshire CCG,Inner,2017,2017 - 19,173.5936459806
191,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Ealing CCG,Inner,2006,2006 - 08,228.786987879575
192,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hillingdon CCG,Inner,2006,2006 - 08,239.611618426408
193,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hounslow CCG,Inner,2006,2006 - 08,285.815139463695
194,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS North West Surrey CCG,Inner,2006,2006 - 08,213.41
195,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Buckinghamshire CCG,Inner,2006,2006 - 08,210.833533409036
196,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS East Berkshire CCG,Inner,2006,2006 - 08,260.21839486640204
197,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Ealing CCG,Inner,2007,2007 - 09,234.244484672635
198,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hillingdon CCG,Inner,2007,2007 - 09,230.844448876154
199,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hounslow CCG,Inner,2007,2007 - 09,282.93313950548196
200,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS North West Surrey CCG,Inner,2007,2007 - 09,209.74
201,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Buckinghamshire CCG,Inner,2007,2007 - 09,208.197597465468
202,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS East Berkshire CCG,Inner,2007,2007 - 09,243.505789509314
203,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Ealing CCG,Inner,2008,2008 - 10,241.97571509398202
204,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hillingdon CCG,Inner,2008,2008 - 10,231.697709921652
205,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Hounslow CCG,Inner,2008,2008 - 10,268.97059845561796
206,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS North West Surrey CCG,Inner,2008,2008 - 10,211.36
207,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Buckinghamshire CCG,Inner,2008,2008 - 10,203.16153439733398
208,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS East Berkshire CCG,Inner,2008,2008 - 10,237.12441112659698
209,Mortality rate from pneumonia (all mentions),Pneumonia (all mentions),NHS Ealing CCG,Inner,2009,2009 - 11,246.39752837877003
