,Year,Indicator Type,Indicator Name,Area Name,Radius Location,Value,heathrow_distance,LAT,LONG
18,2009,Health - Mortality,Under 75 Resp Disease,NHS Buckinghamshire CCG,Outer,23.67329885482389,38818.06152693847,51.7414,-0.8064399999999999
19,2009,Health - Mortality,Under 75 Resp Disease,NHS East Berkshire CCG,Outer,29.567701196798602,15803.713433617613,51.4541,-0.6802600000000001
20,2010,Health - Mortality,Under 75 Resp Disease,NHS Ealing CCG,Inner,34.2132213193597,11465.530928651922,51.5244,-0.31405
21,2010,Health - Mortality,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,33.6477796308702,7458.185529065558,51.5366,-0.4418
22,2010,Health - Mortality,Under 75 Resp Disease,NHS Hounslow CCG,Inner,33.8404769224762,5336.9847118736625,51.4624,-0.37847
23,2010,Health - Mortality,Under 75 Resp Disease,NHS Buckinghamshire CCG,Outer,23.203703591933998,38818.06152693847,51.7414,-0.8064399999999999
24,2010,Health - Mortality,Under 75 Resp Disease,NHS East Berkshire CCG,Outer,28.7460188755604,15803.713433617613,51.4541,-0.6802600000000001
25,2011,Health - Mortality,Under 75 Resp Disease,NHS Ealing CCG,Inner,30.5349940184054,11465.530928651922,51.5244,-0.31405
26,2011,Health - Mortality,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,30.927267125109402,7458.185529065558,51.5366,-0.4418
27,2011,Health - Mortality,Under 75 Resp Disease,NHS Hounslow CCG,Inner,34.049702559322,5336.9847118736625,51.4624,-0.37847
28,2011,Health - Mortality,Under 75 Resp Disease,NHS Buckinghamshire CCG,Outer,19.5115195934638,38818.06152693847,51.7414,-0.8064399999999999
29,2011,Health - Mortality,Under 75 Resp Disease,NHS East Berkshire CCG,Outer,27.5934653004516,15803.713433617613,51.4541,-0.6802600000000001
30,2012,Health - Mortality,Under 75 Resp Disease,NHS Ealing CCG,Inner,31.0105174247062,11465.530928651922,51.5244,-0.31405
31,2012,Health - Mortality,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,30.478241250547,7458.185529065558,51.5366,-0.4418
32,2012,Health - Mortality,Under 75 Resp Disease,NHS Hounslow CCG,Inner,33.735048179001396,5336.9847118736625,51.4624,-0.37847
33,2012,Health - Mortality,Under 75 Resp Disease,NHS Buckinghamshire CCG,Outer,19.1998512435699,38818.06152693847,51.7414,-0.8064399999999999
34,2012,Health - Mortality,Under 75 Resp Disease,NHS East Berkshire CCG,Outer,27.613544934791197,15803.713433617613,51.4541,-0.6802600000000001
35,2013,Health - Mortality,Under 75 Resp Disease,NHS Ealing CCG,Inner,30.7948446048833,11465.530928651922,51.5244,-0.31405
36,2013,Health - Mortality,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,27.9446180006812,7458.185529065558,51.5366,-0.4418
37,2013,Health - Mortality,Under 75 Resp Disease,NHS Hounslow CCG,Inner,36.0552361252494,5336.9847118736625,51.4624,-0.37847
38,2013,Health - Mortality,Under 75 Resp Disease,NHS Buckinghamshire CCG,Outer,19.82263888246469,38818.06152693847,51.7414,-0.8064399999999999
39,2013,Health - Mortality,Under 75 Resp Disease,NHS East Berkshire CCG,Outer,26.1693349930075,15803.713433617613,51.4541,-0.6802600000000001
40,2014,Health - Mortality,Under 75 Resp Disease,NHS Ealing CCG,Inner,32.08054945619001,11465.530928651922,51.5244,-0.31405
41,2014,Health - Mortality,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,27.7632502953777,7458.185529065558,51.5366,-0.4418
42,2014,Health - Mortality,Under 75 Resp Disease,NHS Hounslow CCG,Inner,34.3627665752023,5336.9847118736625,51.4624,-0.37847
43,2014,Health - Mortality,Under 75 Resp Disease,NHS Buckinghamshire CCG,Outer,21.6444232535634,38818.06152693847,51.7414,-0.8064399999999999
44,2014,Health - Mortality,Under 75 Resp Disease,NHS East Berkshire CCG,Outer,29.0599735213409,15803.713433617613,51.4541,-0.6802600000000001
45,2015,Health - Mortality,Under 75 Resp Disease,NHS Ealing CCG,Inner,28.7533355755385,11465.530928651922,51.5244,-0.31405
46,2015,Health - Mortality,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,28.0998277042167,7458.185529065558,51.5366,-0.4418
47,2015,Health - Mortality,Under 75 Resp Disease,NHS Hounslow CCG,Inner,30.7986517471625,5336.9847118736625,51.4624,-0.37847
48,2015,Health - Mortality,Under 75 Resp Disease,NHS Buckinghamshire CCG,Outer,22.2120630645971,38818.06152693847,51.7414,-0.8064399999999999
49,2015,Health - Mortality,Under 75 Resp Disease,NHS East Berkshire CCG,Outer,29.541480001123,15803.713433617613,51.4541,-0.6802600000000001
50,2016,Health - Mortality,Under 75 Resp Disease,NHS Ealing CCG,Inner,30.774326438057102,11465.530928651922,51.5244,-0.31405
51,2016,Health - Mortality,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,28.1630532883202,7458.185529065558,51.5366,-0.4418
52,2016,Health - Mortality,Under 75 Resp Disease,NHS Hounslow CCG,Inner,29.4769528809636,5336.9847118736625,51.4624,-0.37847
53,2016,Health - Mortality,Under 75 Resp Disease,NHS Buckinghamshire CCG,Outer,19.8281564440607,38818.06152693847,51.7414,-0.8064399999999999
54,2016,Health - Mortality,Under 75 Resp Disease,NHS East Berkshire CCG,Outer,32.1739145921297,15803.713433617613,51.4541,-0.6802600000000001
55,2017,Health - Mortality,Under 75 Resp Disease,NHS Ealing CCG,Inner,30.2634947272868,11465.530928651922,51.5244,-0.31405
56,2017,Health - Mortality,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,30.3875285161779,7458.185529065558,51.5366,-0.4418
57,2017,Health - Mortality,Under 75 Resp Disease,NHS Hounslow CCG,Inner,27.136209739868196,5336.9847118736625,51.4624,-0.37847
58,2017,Health - Mortality,Under 75 Resp Disease,NHS Buckinghamshire CCG,Outer,18.7265139559745,38818.06152693847,51.7414,-0.8064399999999999
59,2017,Health - Mortality,Under 75 Resp Disease,NHS East Berkshire CCG,Outer,30.676721468310298,15803.713433617613,51.4541,-0.6802600000000001
60,2006,Health - Mortality,Under 75 Resp Disease,NHS Ealing CCG,Inner,38.388443248541,11465.530928651922,51.5244,-0.31405
61,2006,Health - Mortality,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,36.1767857233585,7458.185529065558,51.5366,-0.4418
62,2006,Health - Mortality,Under 75 Resp Disease,NHS Hounslow CCG,Inner,39.00300079884961,5336.9847118736625,51.4624,-0.37847
63,2006,Health - Mortality,Under 75 Resp Disease,NHS North West Surrey CCG,Inner,26.4,12083.807829583408,51.3683,-0.5151899999999999
64,2006,Health - Mortality,Under 75 Resp Disease,NHS Buckinghamshire CCG,Outer,25.6536125438659,38818.06152693847,51.7414,-0.8064399999999999
65,2006,Health - Mortality,Under 75 Resp Disease,NHS East Berkshire CCG,Outer,31.198376593685,15803.713433617613,51.4541,-0.6802600000000001
66,2007,Health - Mortality,Under 75 Resp Disease,NHS Ealing CCG,Inner,35.2474566247474,11465.530928651922,51.5244,-0.31405
67,2007,Health - Mortality,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,34.7233686052914,7458.185529065558,51.5366,-0.4418
68,2007,Health - Mortality,Under 75 Resp Disease,NHS Hounslow CCG,Inner,42.4021676918821,5336.9847118736625,51.4624,-0.37847
69,2007,Health - Mortality,Under 75 Resp Disease,NHS North West Surrey CCG,Inner,24.82,12083.807829583408,51.3683,-0.5151899999999999
70,2007,Health - Mortality,Under 75 Resp Disease,NHS Buckinghamshire CCG,Outer,24.824630065267,38818.06152693847,51.7414,-0.8064399999999999
71,2007,Health - Mortality,Under 75 Resp Disease,NHS East Berkshire CCG,Outer,29.6313207730683,15803.713433617613,51.4541,-0.6802600000000001
72,2008,Health - Mortality,Under 75 Resp Disease,NHS Ealing CCG,Inner,36.3702072002943,11465.530928651922,51.5244,-0.31405
73,2008,Health - Mortality,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,34.4573233182519,7458.185529065558,51.5366,-0.4418
74,2008,Health - Mortality,Under 75 Resp Disease,NHS Hounslow CCG,Inner,38.9829406464005,5336.9847118736625,51.4624,-0.37847
75,2008,Health - Mortality,Under 75 Resp Disease,NHS North West Surrey CCG,Inner,27.43,12083.807829583408,51.3683,-0.5151899999999999
76,2008,Health - Mortality,Under 75 Resp Disease,NHS Buckinghamshire CCG,Outer,24.64486296907549,38818.06152693847,51.7414,-0.8064399999999999
77,2008,Health - Mortality,Under 75 Resp Disease,NHS East Berkshire CCG,Outer,29.3801056449608,15803.713433617613,51.4541,-0.6802600000000001
78,2009,Health - Mortality,Under 75 Resp Disease,NHS Ealing CCG,Inner,35.305082144957,11465.530928651922,51.5244,-0.31405
79,2009,Health - Mortality,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,30.7374860127874,7458.185529065558,51.5366,-0.4418
80,2009,Health - Mortality,Under 75 Resp Disease,NHS Hounslow CCG,Inner,39.163753024015605,5336.9847118736625,51.4624,-0.37847
81,2009,Health - Mortality,Under 75 Resp Disease,NHS North West Surrey CCG,Inner,28.21,12083.807829583408,51.3683,-0.5151899999999999
82,2009,Health - Mortality,Under 75 Resp Disease,NHS Buckinghamshire CCG,Outer,23.67329885482389,38818.06152693847,51.7414,-0.8064399999999999
83,2009,Health - Mortality,Under 75 Resp Disease,NHS East Berkshire CCG,Outer,29.567701196798602,15803.713433617613,51.4541,-0.6802600000000001
84,2010,Health - Mortality,Under 75 Resp Disease,NHS Ealing CCG,Inner,34.2132213193597,11465.530928651922,51.5244,-0.31405
85,2010,Health - Mortality,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,33.6477796308702,7458.185529065558,51.5366,-0.4418
86,2010,Health - Mortality,Under 75 Resp Disease,NHS Hounslow CCG,Inner,33.8404769224762,5336.9847118736625,51.4624,-0.37847
87,2010,Health - Mortality,Under 75 Resp Disease,NHS North West Surrey CCG,Inner,27.27,12083.807829583408,51.3683,-0.5151899999999999
88,2010,Health - Mortality,Under 75 Resp Disease,NHS Buckinghamshire CCG,Outer,23.203703591933998,38818.06152693847,51.7414,-0.8064399999999999
89,2010,Health - Mortality,Under 75 Resp Disease,NHS East Berkshire CCG,Outer,28.7460188755604,15803.713433617613,51.4541,-0.6802600000000001
90,2011,Health - Mortality,Under 75 Resp Disease,NHS Ealing CCG,Inner,30.5349940184054,11465.530928651922,51.5244,-0.31405
91,2011,Health - Mortality,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,30.927267125109402,7458.185529065558,51.5366,-0.4418
92,2011,Health - Mortality,Under 75 Resp Disease,NHS Hounslow CCG,Inner,34.049702559322,5336.9847118736625,51.4624,-0.37847
93,2011,Health - Mortality,Under 75 Resp Disease,NHS North West Surrey CCG,Inner,23.5,12083.807829583408,51.3683,-0.5151899999999999
94,2011,Health - Mortality,Under 75 Resp Disease,NHS Buckinghamshire CCG,Outer,19.5115195934638,38818.06152693847,51.7414,-0.8064399999999999
95,2011,Health - Mortality,Under 75 Resp Disease,NHS East Berkshire CCG,Outer,27.5934653004516,15803.713433617613,51.4541,-0.6802600000000001
96,2012,Health - Mortality,Under 75 Resp Disease,NHS Ealing CCG,Inner,31.0105174247062,11465.530928651922,51.5244,-0.31405
97,2012,Health - Mortality,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,30.478241250547,7458.185529065558,51.5366,-0.4418
98,2012,Health - Mortality,Under 75 Resp Disease,NHS Hounslow CCG,Inner,33.735048179001396,5336.9847118736625,51.4624,-0.37847
99,2012,Health - Mortality,Under 75 Resp Disease,NHS North West Surrey CCG,Inner,22.72,12083.807829583408,51.3683,-0.5151899999999999
100,2012,Health - Mortality,Under 75 Resp Disease,NHS Buckinghamshire CCG,Outer,19.1998512435699,38818.06152693847,51.7414,-0.8064399999999999
101,2012,Health - Mortality,Under 75 Resp Disease,NHS East Berkshire CCG,Outer,27.613544934791197,15803.713433617613,51.4541,-0.6802600000000001
102,2013,Health - Mortality,Under 75 Resp Disease,NHS Ealing CCG,Inner,30.7948446048833,11465.530928651922,51.5244,-0.31405
103,2013,Health - Mortality,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,27.9446180006812,7458.185529065558,51.5366,-0.4418
104,2013,Health - Mortality,Under 75 Resp Disease,NHS Hounslow CCG,Inner,36.0552361252494,5336.9847118736625,51.4624,-0.37847
105,2013,Health - Mortality,Under 75 Resp Disease,NHS North West Surrey CCG,Inner,24.72,12083.807829583408,51.3683,-0.5151899999999999
106,2013,Health - Mortality,Under 75 Resp Disease,NHS Buckinghamshire CCG,Outer,19.82263888246469,38818.06152693847,51.7414,-0.8064399999999999
107,2013,Health - Mortality,Under 75 Resp Disease,NHS East Berkshire CCG,Outer,26.1693349930075,15803.713433617613,51.4541,-0.6802600000000001
108,2014,Health - Mortality,Under 75 Resp Disease,NHS Ealing CCG,Inner,32.08054945619001,11465.530928651922,51.5244,-0.31405
109,2014,Health - Mortality,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,27.7632502953777,7458.185529065558,51.5366,-0.4418
110,2014,Health - Mortality,Under 75 Resp Disease,NHS Hounslow CCG,Inner,34.3627665752023,5336.9847118736625,51.4624,-0.37847
111,2014,Health - Mortality,Under 75 Resp Disease,NHS North West Surrey CCG,Inner,27.55,12083.807829583408,51.3683,-0.5151899999999999
112,2014,Health - Mortality,Under 75 Resp Disease,NHS Buckinghamshire CCG,Outer,21.6444232535634,38818.06152693847,51.7414,-0.8064399999999999
113,2014,Health - Mortality,Under 75 Resp Disease,NHS East Berkshire CCG,Outer,29.0599735213409,15803.713433617613,51.4541,-0.6802600000000001
114,2015,Health - Mortality,Under 75 Resp Disease,NHS Ealing CCG,Inner,28.7533355755385,11465.530928651922,51.5244,-0.31405
115,2015,Health - Mortality,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,28.0998277042167,7458.185529065558,51.5366,-0.4418
116,2015,Health - Mortality,Under 75 Resp Disease,NHS Hounslow CCG,Inner,30.7986517471625,5336.9847118736625,51.4624,-0.37847
117,2015,Health - Mortality,Under 75 Resp Disease,NHS North West Surrey CCG,Inner,29.25,12083.807829583408,51.3683,-0.5151899999999999
118,2015,Health - Mortality,Under 75 Resp Disease,NHS Buckinghamshire CCG,Outer,22.2120630645971,38818.06152693847,51.7414,-0.8064399999999999
119,2015,Health - Mortality,Under 75 Resp Disease,NHS East Berkshire CCG,Outer,29.541480001123,15803.713433617613,51.4541,-0.6802600000000001
120,2016,Health - Mortality,Under 75 Resp Disease,NHS Ealing CCG,Inner,30.774326438057102,11465.530928651922,51.5244,-0.31405
121,2016,Health - Mortality,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,28.1630532883202,7458.185529065558,51.5366,-0.4418
122,2016,Health - Mortality,Under 75 Resp Disease,NHS Hounslow CCG,Inner,29.4769528809636,5336.9847118736625,51.4624,-0.37847
123,2016,Health - Mortality,Under 75 Resp Disease,NHS North West Surrey CCG,Inner,28.25,12083.807829583408,51.3683,-0.5151899999999999
124,2016,Health - Mortality,Under 75 Resp Disease,NHS Buckinghamshire CCG,Outer,19.8281564440607,38818.06152693847,51.7414,-0.8064399999999999
125,2016,Health - Mortality,Under 75 Resp Disease,NHS East Berkshire CCG,Outer,32.1739145921297,15803.713433617613,51.4541,-0.6802600000000001
126,2017,Health - Mortality,Under 75 Resp Disease,NHS Ealing CCG,Inner,30.2634947272868,11465.530928651922,51.5244,-0.31405
127,2017,Health - Mortality,Under 75 Resp Disease,NHS Hillingdon CCG,Inner,30.3875285161779,7458.185529065558,51.5366,-0.4418
128,2017,Health - Mortality,Under 75 Resp Disease,NHS Hounslow CCG,Inner,27.136209739868196,5336.9847118736625,51.4624,-0.37847
129,2017,Health - Mortality,Under 75 Resp Disease,NHS Buckinghamshire CCG,Outer,18.7265139559745,38818.06152693847,51.7414,-0.8064399999999999
130,2017,Health - Mortality,Under 75 Resp Disease,NHS East Berkshire CCG,Outer,30.676721468310298,15803.713433617613,51.4541,-0.6802600000000001
131,2006,Health - Mortality,Pneumonia (all mentions),NHS Ealing CCG,Inner,228.786987879575,11465.530928651922,51.5244,-0.31405
132,2006,Health - Mortality,Pneumonia (all mentions),NHS Hillingdon CCG,Inner,239.611618426408,7458.185529065558,51.5366,-0.4418
133,2006,Health - Mortality,Pneumonia (all mentions),NHS Hounslow CCG,Inner,285.815139463695,5336.9847118736625,51.4624,-0.37847
134,2006,Health - Mortality,Pneumonia (all mentions),NHS Buckinghamshire CCG,Outer,210.833533409036,38818.06152693847,51.7414,-0.8064399999999999
135,2006,Health - Mortality,Pneumonia (all mentions),NHS East Berkshire CCG,Outer,260.21839486640204,15803.713433617613,51.4541,-0.6802600000000001
136,2007,Health - Mortality,Pneumonia (all mentions),NHS Ealing CCG,Inner,234.244484672635,11465.530928651922,51.5244,-0.31405
137,2007,Health - Mortality,Pneumonia (all mentions),NHS Hillingdon CCG,Inner,230.844448876154,7458.185529065558,51.5366,-0.4418
138,2007,Health - Mortality,Pneumonia (all mentions),NHS Hounslow CCG,Inner,282.93313950548196,5336.9847118736625,51.4624,-0.37847
139,2007,Health - Mortality,Pneumonia (all mentions),NHS Buckinghamshire CCG,Outer,208.197597465468,38818.06152693847,51.7414,-0.8064399999999999
140,2007,Health - Mortality,Pneumonia (all mentions),NHS East Berkshire CCG,Outer,243.505789509314,15803.713433617613,51.4541,-0.6802600000000001
141,2008,Health - Mortality,Pneumonia (all mentions),NHS Ealing CCG,Inner,241.97571509398202,11465.530928651922,51.5244,-0.31405
142,2008,Health - Mortality,Pneumonia (all mentions),NHS Hillingdon CCG,Inner,231.697709921652,7458.185529065558,51.5366,-0.4418
143,2008,Health - Mortality,Pneumonia (all mentions),NHS Hounslow CCG,Inner,268.97059845561796,5336.9847118736625,51.4624,-0.37847
144,2008,Health - Mortality,Pneumonia (all mentions),NHS Buckinghamshire CCG,Outer,203.16153439733398,38818.06152693847,51.7414,-0.8064399999999999
145,2008,Health - Mortality,Pneumonia (all mentions),NHS East Berkshire CCG,Outer,237.12441112659698,15803.713433617613,51.4541,-0.6802600000000001
146,2009,Health - Mortality,Pneumonia (all mentions),NHS Ealing CCG,Inner,246.39752837877003,11465.530928651922,51.5244,-0.31405
147,2009,Health - Mortality,Pneumonia (all mentions),NHS Hillingdon CCG,Inner,225.07057358600602,7458.185529065558,51.5366,-0.4418
148,2009,Health - Mortality,Pneumonia (all mentions),NHS Hounslow CCG,Inner,240.116282745855,5336.9847118736625,51.4624,-0.37847
149,2009,Health - Mortality,Pneumonia (all mentions),NHS Buckinghamshire CCG,Outer,194.297860113069,38818.06152693847,51.7414,-0.8064399999999999
150,2009,Health - Mortality,Pneumonia (all mentions),NHS East Berkshire CCG,Outer,227.372248997623,15803.713433617613,51.4541,-0.6802600000000001
151,2010,Health - Mortality,Pneumonia (all mentions),NHS Ealing CCG,Inner,241.37590581747799,11465.530928651922,51.5244,-0.31405
152,2010,Health - Mortality,Pneumonia (all mentions),NHS Hillingdon CCG,Inner,224.361912469742,7458.185529065558,51.5366,-0.4418
153,2010,Health - Mortality,Pneumonia (all mentions),NHS Hounslow CCG,Inner,233.94710888627202,5336.9847118736625,51.4624,-0.37847
154,2010,Health - Mortality,Pneumonia (all mentions),NHS Buckinghamshire CCG,Outer,186.433751102559,38818.06152693847,51.7414,-0.8064399999999999
155,2010,Health - Mortality,Pneumonia (all mentions),NHS East Berkshire CCG,Outer,226.73676852742,15803.713433617613,51.4541,-0.6802600000000001
156,2011,Health - Mortality,Pneumonia (all mentions),NHS Ealing CCG,Inner,233.855014347258,11465.530928651922,51.5244,-0.31405
157,2011,Health - Mortality,Pneumonia (all mentions),NHS Hillingdon CCG,Inner,215.463531366937,7458.185529065558,51.5366,-0.4418
158,2011,Health - Mortality,Pneumonia (all mentions),NHS Hounslow CCG,Inner,243.393209019077,5336.9847118736625,51.4624,-0.37847
159,2011,Health - Mortality,Pneumonia (all mentions),NHS Buckinghamshire CCG,Outer,176.75933171753996,38818.06152693847,51.7414,-0.8064399999999999
160,2011,Health - Mortality,Pneumonia (all mentions),NHS East Berkshire CCG,Outer,222.63990251076598,15803.713433617613,51.4541,-0.6802600000000001
161,2012,Health - Mortality,Pneumonia (all mentions),NHS Ealing CCG,Inner,221.71304989136502,11465.530928651922,51.5244,-0.31405
162,2012,Health - Mortality,Pneumonia (all mentions),NHS Hillingdon CCG,Inner,207.770265486781,7458.185529065558,51.5366,-0.4418
163,2012,Health - Mortality,Pneumonia (all mentions),NHS Hounslow CCG,Inner,240.47057415899897,5336.9847118736625,51.4624,-0.37847
164,2012,Health - Mortality,Pneumonia (all mentions),NHS Buckinghamshire CCG,Outer,168.290134602018,38818.06152693847,51.7414,-0.8064399999999999
165,2012,Health - Mortality,Pneumonia (all mentions),NHS East Berkshire CCG,Outer,215.045992119036,15803.713433617613,51.4541,-0.6802600000000001
166,2013,Health - Mortality,Pneumonia (all mentions),NHS Ealing CCG,Inner,213.746271456144,11465.530928651922,51.5244,-0.31405
167,2013,Health - Mortality,Pneumonia (all mentions),NHS Hillingdon CCG,Inner,217.79651944334702,7458.185529065558,51.5366,-0.4418
168,2013,Health - Mortality,Pneumonia (all mentions),NHS Hounslow CCG,Inner,223.672065132827,5336.9847118736625,51.4624,-0.37847
169,2013,Health - Mortality,Pneumonia (all mentions),NHS Buckinghamshire CCG,Outer,165.99979518383302,38818.06152693847,51.7414,-0.8064399999999999
170,2013,Health - Mortality,Pneumonia (all mentions),NHS East Berkshire CCG,Outer,209.67467019038898,15803.713433617613,51.4541,-0.6802600000000001
171,2014,Health - Mortality,Pneumonia (all mentions),NHS Ealing CCG,Inner,201.11930543156,11465.530928651922,51.5244,-0.31405
172,2014,Health - Mortality,Pneumonia (all mentions),NHS Hillingdon CCG,Inner,215.44927795303286,7458.185529065558,51.5366,-0.4418
173,2014,Health - Mortality,Pneumonia (all mentions),NHS Hounslow CCG,Inner,208.915265126599,5336.9847118736625,51.4624,-0.37847
174,2014,Health - Mortality,Pneumonia (all mentions),NHS Buckinghamshire CCG,Outer,161.95909068558996,38818.06152693847,51.7414,-0.8064399999999999
175,2014,Health - Mortality,Pneumonia (all mentions),NHS East Berkshire CCG,Outer,204.79653443389,15803.713433617613,51.4541,-0.6802600000000001
176,2015,Health - Mortality,Pneumonia (all mentions),NHS Ealing CCG,Inner,196.193501630313,11465.530928651922,51.5244,-0.31405
177,2015,Health - Mortality,Pneumonia (all mentions),NHS Hillingdon CCG,Inner,211.404964005589,7458.185529065558,51.5366,-0.4418
178,2015,Health - Mortality,Pneumonia (all mentions),NHS Hounslow CCG,Inner,208.46903441474498,5336.9847118736625,51.4624,-0.37847
179,2015,Health - Mortality,Pneumonia (all mentions),NHS Buckinghamshire CCG,Outer,163.690380264101,38818.06152693847,51.7414,-0.8064399999999999
180,2015,Health - Mortality,Pneumonia (all mentions),NHS East Berkshire CCG,Outer,198.474784499994,15803.713433617613,51.4541,-0.6802600000000001
181,2016,Health - Mortality,Pneumonia (all mentions),NHS Ealing CCG,Inner,189.21071256894797,11465.530928651922,51.5244,-0.31405
182,2016,Health - Mortality,Pneumonia (all mentions),NHS Hillingdon CCG,Inner,201.38205259658298,7458.185529065558,51.5366,-0.4418
183,2016,Health - Mortality,Pneumonia (all mentions),NHS Hounslow CCG,Inner,204.58736388142103,5336.9847118736625,51.4624,-0.37847
184,2016,Health - Mortality,Pneumonia (all mentions),NHS Buckinghamshire CCG,Outer,155.49604607014402,38818.06152693847,51.7414,-0.8064399999999999
185,2016,Health - Mortality,Pneumonia (all mentions),NHS East Berkshire CCG,Outer,186.33808239131199,15803.713433617613,51.4541,-0.6802600000000001
186,2017,Health - Mortality,Pneumonia (all mentions),NHS Ealing CCG,Inner,181.608593758601,11465.530928651922,51.5244,-0.31405
187,2017,Health - Mortality,Pneumonia (all mentions),NHS Hillingdon CCG,Inner,201.246746609023,7458.185529065558,51.5366,-0.4418
188,2017,Health - Mortality,Pneumonia (all mentions),NHS Hounslow CCG,Inner,191.336635022544,5336.9847118736625,51.4624,-0.37847
189,2017,Health - Mortality,Pneumonia (all mentions),NHS Buckinghamshire CCG,Outer,148.297996712286,38818.06152693847,51.7414,-0.8064399999999999
190,2017,Health - Mortality,Pneumonia (all mentions),NHS East Berkshire CCG,Outer,173.5936459806,15803.713433617613,51.4541,-0.6802600000000001
191,2006,Health - Mortality,Pneumonia (all mentions),NHS Ealing CCG,Inner,228.786987879575,11465.530928651922,51.5244,-0.31405
192,2006,Health - Mortality,Pneumonia (all mentions),NHS Hillingdon CCG,Inner,239.611618426408,7458.185529065558,51.5366,-0.4418
193,2006,Health - Mortality,Pneumonia (all mentions),NHS Hounslow CCG,Inner,285.815139463695,5336.9847118736625,51.4624,-0.37847
194,2006,Health - Mortality,Pneumonia (all mentions),NHS North West Surrey CCG,Inner,213.41,12083.807829583408,51.3683,-0.5151899999999999
195,2006,Health - Mortality,Pneumonia (all mentions),NHS Buckinghamshire CCG,Outer,210.833533409036,38818.06152693847,51.7414,-0.8064399999999999
196,2006,Health - Mortality,Pneumonia (all mentions),NHS East Berkshire CCG,Outer,260.21839486640204,15803.713433617613,51.4541,-0.6802600000000001
197,2007,Health - Mortality,Pneumonia (all mentions),NHS Ealing CCG,Inner,234.244484672635,11465.530928651922,51.5244,-0.31405
