,Year,Area Name,CCG Location,CCG_Poll_Map,LAT,LONG,Indicator Name,Value
19,2005,NHS Buckinghamshire CCG,Inner Radius,Watford,51.7414,-0.80644,heathrow_distance,38818.06153
20,2006,NHS Buckinghamshire CCG,Inner Radius,Watford,51.7414,-0.80644,heathrow_distance,38818.06153
21,2007,NHS Buckinghamshire CCG,Inner Radius,Watford,51.7414,-0.80644,heathrow_distance,38818.06153
22,2008,NHS Buckinghamshire CCG,Inner Radius,Watford,51.7414,-0.80644,heathrow_distance,38818.06153
23,2009,NHS Buckinghamshire CCG,Inner Radius,Watford,51.7414,-0.80644,heathrow_distance,38818.06153
24,2010,NHS Buckinghamshire CCG,Inner Radius,Watford,51.7414,-0.80644,heathrow_distance,38818.06153
25,2011,NHS Buckinghamshire CCG,Inner Radius,Watford,51.7414,-0.80644,heathrow_distance,38818.06153
26,2012,NHS Buckinghamshire CCG,Inner Radius,Watford,51.7414,-0.80644,heathrow_distance,38818.06153
27,2013,NHS Buckinghamshire CCG,Inner Radius,Watford,51.7414,-0.80644,heathrow_distance,38818.06153
28,2014,NHS Buckinghamshire CCG,Inner Radius,Watford,51.7414,-0.80644,heathrow_distance,38818.06153
29,2015,NHS Buckinghamshire CCG,Inner Radius,Watford,51.7414,-0.80644,heathrow_distance,38818.06153
30,2016,NHS Buckinghamshire CCG,Inner Radius,Watford,51.7414,-0.80644,heathrow_distance,38818.06153
31,2017,NHS Buckinghamshire CCG,Inner Radius,Watford,51.7414,-0.80644,heathrow_distance,38818.06153
32,2018,NHS Buckinghamshire CCG,Inner Radius,Watford,51.7414,-0.80644,heathrow_distance,38818.06153
33,2019,NHS Buckinghamshire CCG,Inner Radius,Watford,51.7414,-0.80644,heathrow_distance,38818.06153
34,2003,NHS Ealing CCG,Inner Radius,Ealing,51.5244,-0.31405,heathrow_distance,11465.53093
35,2004,NHS Ealing CCG,Inner Radius,Ealing,51.5244,-0.31405,heathrow_distance,11465.53093
36,2005,NHS Ealing CCG,Inner Radius,Ealing,51.5244,-0.31405,heathrow_distance,11465.53093
37,2006,NHS Ealing CCG,Inner Radius,Ealing,51.5244,-0.31405,heathrow_distance,11465.53093
38,2007,NHS Ealing CCG,Inner Radius,Ealing,51.5244,-0.31405,heathrow_distance,11465.53093
39,2008,NHS Ealing CCG,Inner Radius,Ealing,51.5244,-0.31405,heathrow_distance,11465.53093
40,2009,NHS Ealing CCG,Inner Radius,Ealing,51.5244,-0.31405,heathrow_distance,11465.53093
41,2010,NHS Ealing CCG,Inner Radius,Ealing,51.5244,-0.31405,heathrow_distance,11465.53093
42,2011,NHS Ealing CCG,Inner Radius,Ealing,51.5244,-0.31405,heathrow_distance,11465.53093
43,2012,NHS Ealing CCG,Inner Radius,Ealing,51.5244,-0.31405,heathrow_distance,11465.53093
44,2013,NHS Ealing CCG,Inner Radius,Ealing,51.5244,-0.31405,heathrow_distance,11465.53093
45,2014,NHS Ealing CCG,Inner Radius,Ealing,51.5244,-0.31405,heathrow_distance,11465.53093
46,2015,NHS Ealing CCG,Inner Radius,Ealing,51.5244,-0.31405,heathrow_distance,11465.53093
47,2016,NHS Ealing CCG,Inner Radius,Ealing,51.5244,-0.31405,heathrow_distance,11465.53093
48,2017,NHS Ealing CCG,Inner Radius,Ealing,51.5244,-0.31405,heathrow_distance,11465.53093
49,2018,NHS Ealing CCG,Inner Radius,Ealing,51.5244,-0.31405,heathrow_distance,11465.53093
50,2019,NHS Ealing CCG,Inner Radius,Ealing,51.5244,-0.31405,heathrow_distance,11465.53093
51,2003,NHS East Berkshire CCG,Inner Radius,East Berkshire,51.4541,-0.68026,heathrow_distance,15803.71343
52,2004,NHS East Berkshire CCG,Inner Radius,East Berkshire,51.4541,-0.68026,heathrow_distance,15803.71343
53,2005,NHS East Berkshire CCG,Inner Radius,East Berkshire,51.4541,-0.68026,heathrow_distance,15803.71343
54,2006,NHS East Berkshire CCG,Inner Radius,East Berkshire,51.4541,-0.68026,heathrow_distance,15803.71343
55,2007,NHS East Berkshire CCG,Inner Radius,East Berkshire,51.4541,-0.68026,heathrow_distance,15803.71343
56,2008,NHS East Berkshire CCG,Inner Radius,East Berkshire,51.4541,-0.68026,heathrow_distance,15803.71343
57,2009,NHS East Berkshire CCG,Inner Radius,East Berkshire,51.4541,-0.68026,heathrow_distance,15803.71343
58,2010,NHS East Berkshire CCG,Inner Radius,East Berkshire,51.4541,-0.68026,heathrow_distance,15803.71343
59,2011,NHS East Berkshire CCG,Inner Radius,East Berkshire,51.4541,-0.68026,heathrow_distance,15803.71343
60,2012,NHS East Berkshire CCG,Inner Radius,East Berkshire,51.4541,-0.68026,heathrow_distance,15803.71343
61,2013,NHS East Berkshire CCG,Inner Radius,East Berkshire,51.4541,-0.68026,heathrow_distance,15803.71343
62,2014,NHS East Berkshire CCG,Inner Radius,East Berkshire,51.4541,-0.68026,heathrow_distance,15803.71343
63,2015,NHS East Berkshire CCG,Inner Radius,East Berkshire,51.4541,-0.68026,heathrow_distance,15803.71343
64,2016,NHS East Berkshire CCG,Inner Radius,East Berkshire,51.4541,-0.68026,heathrow_distance,15803.71343
65,2017,NHS East Berkshire CCG,Inner Radius,East Berkshire,51.4541,-0.68026,heathrow_distance,15803.71343
66,2018,NHS East Berkshire CCG,Inner Radius,East Berkshire,51.4541,-0.68026,heathrow_distance,15803.71343
67,2019,NHS East Berkshire CCG,Inner Radius,East Berkshire,51.4541,-0.68026,heathrow_distance,15803.71343
68,2003,NHS Hammersmith And Fulham CCG,Outer Radius,Hammersmith and Fulham,51.4873,-0.21735,heathrow_distance,16573.14549
69,2004,NHS Hammersmith And Fulham CCG,Outer Radius,Hammersmith and Fulham,51.4873,-0.21735,heathrow_distance,16573.14549
70,2005,NHS Hammersmith And Fulham CCG,Outer Radius,Hammersmith and Fulham,51.4873,-0.21735,heathrow_distance,16573.14549
71,2006,NHS Hammersmith And Fulham CCG,Outer Radius,Hammersmith and Fulham,51.4873,-0.21735,heathrow_distance,16573.14549
72,2007,NHS Hammersmith And Fulham CCG,Outer Radius,Hammersmith and Fulham,51.4873,-0.21735,heathrow_distance,16573.14549
73,2008,NHS Hammersmith And Fulham CCG,Outer Radius,Hammersmith and Fulham,51.4873,-0.21735,heathrow_distance,16573.14549
74,2009,NHS Hammersmith And Fulham CCG,Outer Radius,Hammersmith and Fulham,51.4873,-0.21735,heathrow_distance,16573.14549
75,2010,NHS Hammersmith And Fulham CCG,Outer Radius,Hammersmith and Fulham,51.4873,-0.21735,heathrow_distance,16573.14549
76,2011,NHS Hammersmith And Fulham CCG,Outer Radius,Hammersmith and Fulham,51.4873,-0.21735,heathrow_distance,16573.14549
77,2012,NHS Hammersmith And Fulham CCG,Outer Radius,Hammersmith and Fulham,51.4873,-0.21735,heathrow_distance,16573.14549
78,2013,NHS Hammersmith And Fulham CCG,Outer Radius,Hammersmith and Fulham,51.4873,-0.21735,heathrow_distance,16573.14549
79,2014,NHS Hammersmith And Fulham CCG,Outer Radius,Hammersmith and Fulham,51.4873,-0.21735,heathrow_distance,16573.14549
80,2015,NHS Hammersmith And Fulham CCG,Outer Radius,Hammersmith and Fulham,51.4873,-0.21735,heathrow_distance,16573.14549
81,2016,NHS Hammersmith And Fulham CCG,Outer Radius,Hammersmith and Fulham,51.4873,-0.21735,heathrow_distance,16573.14549
82,2017,NHS Hammersmith And Fulham CCG,Outer Radius,Hammersmith and Fulham,51.4873,-0.21735,heathrow_distance,16573.14549
83,2018,NHS Hammersmith And Fulham CCG,Outer Radius,Hammersmith and Fulham,51.4873,-0.21735,heathrow_distance,16573.14549
84,2019,NHS Hammersmith And Fulham CCG,Outer Radius,Hammersmith and Fulham,51.4873,-0.21735,heathrow_distance,16573.14549
85,2003,NHS Herts Valleys CCG,Outer Radius,Watford,51.7317,-0.45521,heathrow_distance,29114.52213
86,2004,NHS Herts Valleys CCG,Outer Radius,Watford,51.7317,-0.45521,heathrow_distance,29114.52213
87,2005,NHS Herts Valleys CCG,Outer Radius,Watford,51.7317,-0.45521,heathrow_distance,29114.52213
88,2006,NHS Herts Valleys CCG,Outer Radius,Watford,51.7317,-0.45521,heathrow_distance,29114.52213
89,2007,NHS Herts Valleys CCG,Outer Radius,Watford,51.7317,-0.45521,heathrow_distance,29114.52213
90,2008,NHS Herts Valleys CCG,Outer Radius,Watford,51.7317,-0.45521,heathrow_distance,29114.52213
91,2009,NHS Herts Valleys CCG,Outer Radius,Watford,51.7317,-0.45521,heathrow_distance,29114.52213
92,2010,NHS Herts Valleys CCG,Outer Radius,Watford,51.7317,-0.45521,heathrow_distance,29114.52213
93,2011,NHS Herts Valleys CCG,Outer Radius,Watford,51.7317,-0.45521,heathrow_distance,29114.52213
94,2012,NHS Herts Valleys CCG,Outer Radius,Watford,51.7317,-0.45521,heathrow_distance,29114.52213
95,2013,NHS Herts Valleys CCG,Outer Radius,Watford,51.7317,-0.45521,heathrow_distance,29114.52213
96,2014,NHS Herts Valleys CCG,Outer Radius,Watford,51.7317,-0.45521,heathrow_distance,29114.52213
97,2015,NHS Herts Valleys CCG,Outer Radius,Watford,51.7317,-0.45521,heathrow_distance,29114.52213
98,2016,NHS Herts Valleys CCG,Outer Radius,Watford,51.7317,-0.45521,heathrow_distance,29114.52213
99,2017,NHS Herts Valleys CCG,Outer Radius,Watford,51.7317,-0.45521,heathrow_distance,29114.52213
100,2018,NHS Herts Valleys CCG,Outer Radius,Watford,51.7317,-0.45521,heathrow_distance,29114.52213
101,2019,NHS Herts Valleys CCG,Outer Radius,Watford,51.7317,-0.45521,heathrow_distance,29114.52213
102,2003,NHS Hillingdon CCG,Inner Radius,Hillingdon,51.5366,-0.4418,heathrow_distance,7458.185529
103,2004,NHS Hillingdon CCG,Inner Radius,Hillingdon,51.5366,-0.4418,heathrow_distance,7458.185529
104,2005,NHS Hillingdon CCG,Inner Radius,Hillingdon,51.5366,-0.4418,heathrow_distance,7458.185529
105,2006,NHS Hillingdon CCG,Inner Radius,Hillingdon,51.5366,-0.4418,heathrow_distance,7458.185529
106,2007,NHS Hillingdon CCG,Inner Radius,Hillingdon,51.5366,-0.4418,heathrow_distance,7458.185529
107,2008,NHS Hillingdon CCG,Inner Radius,Hillingdon,51.5366,-0.4418,heathrow_distance,7458.185529
108,2009,NHS Hillingdon CCG,Inner Radius,Hillingdon,51.5366,-0.4418,heathrow_distance,7458.185529
109,2010,NHS Hillingdon CCG,Inner Radius,Hillingdon,51.5366,-0.4418,heathrow_distance,7458.185529
110,2011,NHS Hillingdon CCG,Inner Radius,Hillingdon,51.5366,-0.4418,heathrow_distance,7458.185529
111,2012,NHS Hillingdon CCG,Inner Radius,Hillingdon,51.5366,-0.4418,heathrow_distance,7458.185529
112,2013,NHS Hillingdon CCG,Inner Radius,Hillingdon,51.5366,-0.4418,heathrow_distance,7458.185529
113,2014,NHS Hillingdon CCG,Inner Radius,Hillingdon,51.5366,-0.4418,heathrow_distance,7458.185529
114,2015,NHS Hillingdon CCG,Inner Radius,Hillingdon,51.5366,-0.4418,heathrow_distance,7458.185529
115,2016,NHS Hillingdon CCG,Inner Radius,Hillingdon,51.5366,-0.4418,heathrow_distance,7458.185529
116,2017,NHS Hillingdon CCG,Inner Radius,Hillingdon,51.5366,-0.4418,heathrow_distance,7458.185529
117,2018,NHS Hillingdon CCG,Inner Radius,Hillingdon,51.5366,-0.4418,heathrow_distance,7458.185529
118,2019,NHS Hillingdon CCG,Inner Radius,Hillingdon,51.5366,-0.4418,heathrow_distance,7458.185529
119,2003,NHS Hounslow CCG,Inner Radius,Hounslow,51.4624,-0.37847,heathrow_distance,5336.984712
120,2004,NHS Hounslow CCG,Inner Radius,Hounslow,51.4624,-0.37847,heathrow_distance,5336.984712
121,2005,NHS Hounslow CCG,Inner Radius,Hounslow,51.4624,-0.37847,heathrow_distance,5336.984712
122,2006,NHS Hounslow CCG,Inner Radius,Hounslow,51.4624,-0.37847,heathrow_distance,5336.984712
123,2007,NHS Hounslow CCG,Inner Radius,Hounslow,51.4624,-0.37847,heathrow_distance,5336.984712
124,2008,NHS Hounslow CCG,Inner Radius,Hounslow,51.4624,-0.37847,heathrow_distance,5336.984712
125,2009,NHS Hounslow CCG,Inner Radius,Hounslow,51.4624,-0.37847,heathrow_distance,5336.984712
126,2010,NHS Hounslow CCG,Inner Radius,Hounslow,51.4624,-0.37847,heathrow_distance,5336.984712
127,2011,NHS Hounslow CCG,Inner Radius,Hounslow,51.4624,-0.37847,heathrow_distance,5336.984712
128,2012,NHS Hounslow CCG,Inner Radius,Hounslow,51.4624,-0.37847,heathrow_distance,5336.984712
129,2013,NHS Hounslow CCG,Inner Radius,Hounslow,51.4624,-0.37847,heathrow_distance,5336.984712
130,2014,NHS Hounslow CCG,Inner Radius,Hounslow,51.4624,-0.37847,heathrow_distance,5336.984712
131,2015,NHS Hounslow CCG,Inner Radius,Hounslow,51.4624,-0.37847,heathrow_distance,5336.984712
132,2016,NHS Hounslow CCG,Inner Radius,Hounslow,51.4624,-0.37847,heathrow_distance,5336.984712
133,2017,NHS Hounslow CCG,Inner Radius,Hounslow,51.4624,-0.37847,heathrow_distance,5336.984712
134,2018,NHS Hounslow CCG,Inner Radius,Hounslow,51.4624,-0.37847,heathrow_distance,5336.984712
135,2019,NHS Hounslow CCG,Inner Radius,Hounslow,51.4624,-0.37847,heathrow_distance,5336.984712
136,2003,NHS Kingston CCG,Outer Radius,South West London,51.3929,-0.28372,heathrow_distance,14640.30942
137,2004,NHS Kingston CCG,Outer Radius,South West London,51.3929,-0.28372,heathrow_distance,14640.30942
138,2005,NHS Kingston CCG,Outer Radius,South West London,51.3929,-0.28372,heathrow_distance,14640.30942
139,2006,NHS Kingston CCG,Outer Radius,South West London,51.3929,-0.28372,heathrow_distance,14640.30942
140,2007,NHS Kingston CCG,Outer Radius,South West London,51.3929,-0.28372,heathrow_distance,14640.30942
141,2008,NHS Kingston CCG,Outer Radius,South West London,51.3929,-0.28372,heathrow_distance,14640.30942
142,2009,NHS Kingston CCG,Outer Radius,South West London,51.3929,-0.28372,heathrow_distance,14640.30942
143,2010,NHS Kingston CCG,Outer Radius,South West London,51.3929,-0.28372,heathrow_distance,14640.30942
144,2011,NHS Kingston CCG,Outer Radius,South West London,51.3929,-0.28372,heathrow_distance,14640.30942
145,2012,NHS Kingston CCG,Outer Radius,South West London,51.3929,-0.28372,heathrow_distance,14640.30942
146,2013,NHS Kingston CCG,Outer Radius,South West London,51.3929,-0.28372,heathrow_distance,14640.30942
147,2014,NHS Kingston CCG,Outer Radius,South West London,51.3929,-0.28372,heathrow_distance,14640.30942
148,2015,NHS Kingston CCG,Outer Radius,South West London,51.3929,-0.28372,heathrow_distance,14640.30942
149,2016,NHS Kingston CCG,Outer Radius,South West London,51.3929,-0.28372,heathrow_distance,14640.30942
150,2017,NHS Kingston CCG,Outer Radius,South West London,51.3929,-0.28372,heathrow_distance,14640.30942
151,2018,NHS Kingston CCG,Outer Radius,South West London,51.3929,-0.28372,heathrow_distance,14640.30942
152,2019,NHS Kingston CCG,Outer Radius,South West London,51.3929,-0.28372,heathrow_distance,14640.30942
153,2003,NHS Merton CCG,Outer Radius,South West London,51.4106,-0.18867,heathrow_distance,19616.70838
154,2004,NHS Merton CCG,Outer Radius,South West London,51.4106,-0.18867,heathrow_distance,19616.70838
155,2005,NHS Merton CCG,Outer Radius,South West London,51.4106,-0.18867,heathrow_distance,19616.70838
156,2006,NHS Merton CCG,Outer Radius,South West London,51.4106,-0.18867,heathrow_distance,19616.70838
157,2007,NHS Merton CCG,Outer Radius,South West London,51.4106,-0.18867,heathrow_distance,19616.70838
158,2008,NHS Merton CCG,Outer Radius,South West London,51.4106,-0.18867,heathrow_distance,19616.70838
159,2009,NHS Merton CCG,Outer Radius,South West London,51.4106,-0.18867,heathrow_distance,19616.70838
160,2010,NHS Merton CCG,Outer Radius,South West London,51.4106,-0.18867,heathrow_distance,19616.70838
161,2011,NHS Merton CCG,Outer Radius,South West London,51.4106,-0.18867,heathrow_distance,19616.70838
162,2012,NHS Merton CCG,Outer Radius,South West London,51.4106,-0.18867,heathrow_distance,19616.70838
163,2013,NHS Merton CCG,Outer Radius,South West London,51.4106,-0.18867,heathrow_distance,19616.70838
164,2014,NHS Merton CCG,Outer Radius,South West London,51.4106,-0.18867,heathrow_distance,19616.70838
165,2015,NHS Merton CCG,Outer Radius,South West London,51.4106,-0.18867,heathrow_distance,19616.70838
166,2016,NHS Merton CCG,Outer Radius,South West London,51.4106,-0.18867,heathrow_distance,19616.70838
167,2017,NHS Merton CCG,Outer Radius,South West London,51.4106,-0.18867,heathrow_distance,19616.70838
168,2018,NHS Merton CCG,Outer Radius,South West London,51.4106,-0.18867,heathrow_distance,19616.70838
169,2019,NHS Merton CCG,Outer Radius,South West London,51.4106,-0.18867,heathrow_distance,19616.70838
170,2003,NHS North West Surrey CCG,Inner Radius,Surrey Heartlands,51.3683,-0.51519,heathrow_distance,12083.80783
171,2004,NHS North West Surrey CCG,Inner Radius,Surrey Heartlands,51.3683,-0.51519,heathrow_distance,12083.80783
172,2005,NHS North West Surrey CCG,Inner Radius,Surrey Heartlands,51.3683,-0.51519,heathrow_distance,12083.80783
173,2006,NHS North West Surrey CCG,Inner Radius,Surrey Heartlands,51.3683,-0.51519,heathrow_distance,12083.80783
174,2007,NHS North West Surrey CCG,Inner Radius,Surrey Heartlands,51.3683,-0.51519,heathrow_distance,12083.80783
175,2008,NHS North West Surrey CCG,Inner Radius,Surrey Heartlands,51.3683,-0.51519,heathrow_distance,12083.80783
176,2009,NHS North West Surrey CCG,Inner Radius,Surrey Heartlands,51.3683,-0.51519,heathrow_distance,12083.80783
177,2010,NHS North West Surrey CCG,Inner Radius,Surrey Heartlands,51.3683,-0.51519,heathrow_distance,12083.80783
178,2011,NHS North West Surrey CCG,Inner Radius,Surrey Heartlands,51.3683,-0.51519,heathrow_distance,12083.80783
179,2012,NHS North West Surrey CCG,Inner Radius,Surrey Heartlands,51.3683,-0.51519,heathrow_distance,12083.80783
180,2013,NHS North West Surrey CCG,Inner Radius,Surrey Heartlands,51.3683,-0.51519,heathrow_distance,12083.80783
181,2014,NHS North West Surrey CCG,Inner Radius,Surrey Heartlands,51.3683,-0.51519,heathrow_distance,12083.80783
182,2015,NHS North West Surrey CCG,Inner Radius,Surrey Heartlands,51.3683,-0.51519,heathrow_distance,12083.80783
183,2016,NHS North West Surrey CCG,Inner Radius,Surrey Heartlands,51.3683,-0.51519,heathrow_distance,12083.80783
184,2017,NHS North West Surrey CCG,Inner Radius,Surrey Heartlands,51.3683,-0.51519,heathrow_distance,12083.80783
185,2018,NHS North West Surrey CCG,Inner Radius,Surrey Heartlands,51.3683,-0.51519,heathrow_distance,12083.80783
186,2019,NHS North West Surrey CCG,Inner Radius,Surrey Heartlands,51.3683,-0.51519,heathrow_distance,12083.80783
187,2003,NHS Oxfordshire CCG,Outer Radius,Oxford,51.7715,-1.29146,heathrow_distance,66982.40789
188,2004,NHS Oxfordshire CCG,Outer Radius,Oxford,51.7715,-1.29146,heathrow_distance,66982.40789
189,2005,NHS Oxfordshire CCG,Outer Radius,Oxford,51.7715,-1.29146,heathrow_distance,66982.40789
190,2006,NHS Oxfordshire CCG,Outer Radius,Oxford,51.7715,-1.29146,heathrow_distance,66982.40789
191,2007,NHS Oxfordshire CCG,Outer Radius,Oxford,51.7715,-1.29146,heathrow_distance,66982.40789
192,2008,NHS Oxfordshire CCG,Outer Radius,Oxford,51.7715,-1.29146,heathrow_distance,66982.40789
193,2009,NHS Oxfordshire CCG,Outer Radius,Oxford,51.7715,-1.29146,heathrow_distance,66982.40789
194,2010,NHS Oxfordshire CCG,Outer Radius,Oxford,51.7715,-1.29146,heathrow_distance,66982.40789
195,2011,NHS Oxfordshire CCG,Outer Radius,Oxford,51.7715,-1.29146,heathrow_distance,66982.40789
196,2012,NHS Oxfordshire CCG,Outer Radius,Oxford,51.7715,-1.29146,heathrow_distance,66982.40789
197,2013,NHS Oxfordshire CCG,Outer Radius,Oxford,51.7715,-1.29146,heathrow_distance,66982.40789
198,2014,NHS Oxfordshire CCG,Outer Radius,Oxford,51.7715,-1.29146,heathrow_distance,66982.40789
199,2015,NHS Oxfordshire CCG,Outer Radius,Oxford,51.7715,-1.29146,heathrow_distance,66982.40789
200,2016,NHS Oxfordshire CCG,Outer Radius,Oxford,51.7715,-1.29146,heathrow_distance,66982.40789
201,2017,NHS Oxfordshire CCG,Outer Radius,Oxford,51.7715,-1.29146,heathrow_distance,66982.40789
202,2018,NHS Oxfordshire CCG,Outer Radius,Oxford,51.7715,-1.29146,heathrow_distance,66982.40789
203,2019,NHS Oxfordshire CCG,Outer Radius,Oxford,51.7715,-1.29146,heathrow_distance,66982.40789
204,2003,NHS Richmond CCG,Outer Radius,South West London,51.4403,-0.28911,heathrow_distance,11948.41495
205,2004,NHS Richmond CCG,Outer Radius,South West London,51.4403,-0.28911,heathrow_distance,11948.41495
206,2005,NHS Richmond CCG,Outer Radius,South West London,51.4403,-0.28911,heathrow_distance,11948.41495
207,2006,NHS Richmond CCG,Outer Radius,South West London,51.4403,-0.28911,heathrow_distance,11948.41495
208,2007,NHS Richmond CCG,Outer Radius,South West London,51.4403,-0.28911,heathrow_distance,11948.41495
209,2008,NHS Richmond CCG,Outer Radius,South West London,51.4403,-0.28911,heathrow_distance,11948.41495
210,2009,NHS Richmond CCG,Outer Radius,South West London,51.4403,-0.28911,heathrow_distance,11948.41495
211,2010,NHS Richmond CCG,Outer Radius,South West London,51.4403,-0.28911,heathrow_distance,11948.41495
212,2011,NHS Richmond CCG,Outer Radius,South West London,51.4403,-0.28911,heathrow_distance,11948.41495
213,2012,NHS Richmond CCG,Outer Radius,South West London,51.4403,-0.28911,heathrow_distance,11948.41495
214,2013,NHS Richmond CCG,Outer Radius,South West London,51.4403,-0.28911,heathrow_distance,11948.41495
215,2014,NHS Richmond CCG,Outer Radius,South West London,51.4403,-0.28911,heathrow_distance,11948.41495
216,2015,NHS Richmond CCG,Outer Radius,South West London,51.4403,-0.28911,heathrow_distance,11948.41495
217,2016,NHS Richmond CCG,Outer Radius,South West London,51.4403,-0.28911,heathrow_distance,11948.41495
218,2017,NHS Richmond CCG,Outer Radius,South West London,51.4403,-0.28911,heathrow_distance,11948.41495
219,2018,NHS Richmond CCG,Outer Radius,South West London,51.4403,-0.28911,heathrow_distance,11948.41495
220,2019,NHS Richmond CCG,Outer Radius,South West London,51.4403,-0.28911,heathrow_distance,11948.41495
221,2003,NHS Surrey Heath CCG,Outer Radius,Reading,51.3281,-0.70434,heathrow_distance,23497.23959
222,2004,NHS Surrey Heath CCG,Outer Radius,Reading,51.3281,-0.70434,heathrow_distance,23497.23959
223,2005,NHS Surrey Heath CCG,Outer Radius,Reading,51.3281,-0.70434,heathrow_distance,23497.23959
224,2006,NHS Surrey Heath CCG,Outer Radius,Reading,51.3281,-0.70434,heathrow_distance,23497.23959
225,2007,NHS Surrey Heath CCG,Outer Radius,Reading,51.3281,-0.70434,heathrow_distance,23497.23959
226,2008,NHS Surrey Heath CCG,Outer Radius,Reading,51.3281,-0.70434,heathrow_distance,23497.23959
227,2009,NHS Surrey Heath CCG,Outer Radius,Reading,51.3281,-0.70434,heathrow_distance,23497.23959
228,2010,NHS Surrey Heath CCG,Outer Radius,Reading,51.3281,-0.70434,heathrow_distance,23497.23959
229,2011,NHS Surrey Heath CCG,Outer Radius,Reading,51.3281,-0.70434,heathrow_distance,23497.23959
230,2012,NHS Surrey Heath CCG,Outer Radius,Reading,51.3281,-0.70434,heathrow_distance,23497.23959
231,2013,NHS Surrey Heath CCG,Outer Radius,Reading,51.3281,-0.70434,heathrow_distance,23497.23959
232,2014,NHS Surrey Heath CCG,Outer Radius,Reading,51.3281,-0.70434,heathrow_distance,23497.23959
233,2015,NHS Surrey Heath CCG,Outer Radius,Reading,51.3281,-0.70434,heathrow_distance,23497.23959
234,2016,NHS Surrey Heath CCG,Outer Radius,Reading,51.3281,-0.70434,heathrow_distance,23497.23959
235,2017,NHS Surrey Heath CCG,Outer Radius,Reading,51.3281,-0.70434,heathrow_distance,23497.23959
236,2018,NHS Surrey Heath CCG,Outer Radius,Reading,51.3281,-0.70434,heathrow_distance,23497.23959
237,2019,NHS Surrey Heath CCG,Outer Radius,Reading,51.3281,-0.70434,heathrow_distance,23497.23959
238,2003,NHS Sutton CCG,Outer Radius,South West London,51.3576,-0.17227,heathrow_distance,23268.28951
239,2004,NHS Sutton CCG,Outer Radius,South West London,51.3576,-0.17227,heathrow_distance,23268.28951
240,2005,NHS Sutton CCG,Outer Radius,South West London,51.3576,-0.17227,heathrow_distance,23268.28951
241,2006,NHS Sutton CCG,Outer Radius,South West London,51.3576,-0.17227,heathrow_distance,23268.28951
242,2007,NHS Sutton CCG,Outer Radius,South West London,51.3576,-0.17227,heathrow_distance,23268.28951
243,2008,NHS Sutton CCG,Outer Radius,South West London,51.3576,-0.17227,heathrow_distance,23268.28951
244,2009,NHS Sutton CCG,Outer Radius,South West London,51.3576,-0.17227,heathrow_distance,23268.28951
245,2010,NHS Sutton CCG,Outer Radius,South West London,51.3576,-0.17227,heathrow_distance,23268.28951
246,2011,NHS Sutton CCG,Outer Radius,South West London,51.3576,-0.17227,heathrow_distance,23268.28951
247,2012,NHS Sutton CCG,Outer Radius,South West London,51.3576,-0.17227,heathrow_distance,23268.28951
248,2013,NHS Sutton CCG,Outer Radius,South West London,51.3576,-0.17227,heathrow_distance,23268.28951
249,2014,NHS Sutton CCG,Outer Radius,South West London,51.3576,-0.17227,heathrow_distance,23268.28951
