Country Name,Indicator Name,Year,Value
NHS Oxfordshire CCG,Asthma Admissions Over 19yr,2007,
NHS Berkshire West CCG,Asthma Admissions Over 19yr,2008,
NHS Surrey Heath CCG,Asthma Admissions Over 19yr,2008,
NHS Buckinghamshire CCG,Asthma Admissions Over 19yr,2008,
NHS Herts Valleys CCG,Asthma Admissions Over 19yr,2008,
NHS Ealing CCG,Asthma Admissions Over 19yr,2008,
NHS East Berkshire CCG,Asthma Admissions Over 19yr,2008,
NHS Hammersmith And Fulham CCG,Asthma Admissions Over 19yr,2008,
NHS Hillingdon CCG,Asthma Admissions Over 19yr,2008,
NHS Hounslow CCG,Asthma Admissions Over 19yr,2008,
NHS Kingston CCG,Asthma Admissions Over 19yr,2008,
NHS Merton CCG,Asthma Admissions Over 19yr,2008,
NHS Richmond CCG,Asthma Admissions Over 19yr,2008,
NHS Sutton CCG,Asthma Admissions Over 19yr,2008,
NHS Wandsworth CCG,Asthma Admissions Over 19yr,2008,
NHS North West Surrey CCG,Asthma Admissions Over 19yr,2008,
NHS Oxfordshire CCG,Asthma Admissions Over 19yr,2008,
NHS Berkshire West CCG,Asthma Admissions Over 19yr,2009,
NHS Surrey Heath CCG,Asthma Admissions Over 19yr,2009,
NHS Buckinghamshire CCG,Asthma Admissions Over 19yr,2009,
NHS Herts Valleys CCG,Asthma Admissions Over 19yr,2009,
NHS Ealing CCG,Asthma Admissions Over 19yr,2009,
NHS East Berkshire CCG,Asthma Admissions Over 19yr,2009,
NHS Hammersmith And Fulham CCG,Asthma Admissions Over 19yr,2009,
NHS Hillingdon CCG,Asthma Admissions Over 19yr,2009,
NHS Hounslow CCG,Asthma Admissions Over 19yr,2009,
NHS Kingston CCG,Asthma Admissions Over 19yr,2009,
NHS Merton CCG,Asthma Admissions Over 19yr,2009,
NHS Richmond CCG,Asthma Admissions Over 19yr,2009,
NHS Sutton CCG,Asthma Admissions Over 19yr,2009,
NHS Wandsworth CCG,Asthma Admissions Over 19yr,2009,
NHS North West Surrey CCG,Asthma Admissions Over 19yr,2009,
NHS Berkshire West CCG,Asthma Admissions Over 19yr,2010,
NHS Surrey Heath CCG,Asthma Admissions Over 19yr,2010,
NHS Buckinghamshire CCG,Asthma Admissions Over 19yr,2010,
NHS Herts Valleys CCG,Asthma Admissions Over 19yr,2010,
NHS Ealing CCG,Asthma Admissions Over 19yr,2010,
NHS East Berkshire CCG,Asthma Admissions Over 19yr,2010,
NHS Hammersmith And Fulham CCG,Asthma Admissions Over 19yr,2010,
NHS Hillingdon CCG,Asthma Admissions Over 19yr,2010,
NHS Hounslow CCG,Asthma Admissions Over 19yr,2010,
NHS Kingston CCG,Asthma Admissions Over 19yr,2010,
NHS Merton CCG,Asthma Admissions Over 19yr,2010,
NHS Richmond CCG,Asthma Admissions Over 19yr,2010,
NHS Sutton CCG,Asthma Admissions Over 19yr,2010,
NHS Wandsworth CCG,Asthma Admissions Over 19yr,2010,
NHS North West Surrey CCG,Asthma Admissions Over 19yr,2010,
NHS Oxfordshire CCG,Asthma Admissions Over 19yr,2010,
NHS Berkshire West CCG,Asthma Admissions Over 19yr,2011,
NHS Surrey Heath CCG,Asthma Admissions Over 19yr,2011,
NHS Ealing CCG,Asthma Admissions Over 19yr,2011,
NHS East Berkshire CCG,Asthma Admissions Over 19yr,2011,
NHS Hammersmith And Fulham CCG,Asthma Admissions Over 19yr,2011,
NHS Hillingdon CCG,Asthma Admissions Over 19yr,2011,
NHS Hounslow CCG,Asthma Admissions Over 19yr,2011,
NHS Kingston CCG,Asthma Admissions Over 19yr,2011,
NHS Merton CCG,Asthma Admissions Over 19yr,2011,
NHS Richmond CCG,Asthma Admissions Over 19yr,2011,
NHS Sutton CCG,Asthma Admissions Over 19yr,2011,
NHS Wandsworth CCG,Asthma Admissions Over 19yr,2011,
NHS North West Surrey CCG,Asthma Admissions Over 19yr,2011,
NHS Oxfordshire CCG,Asthma Admissions Over 19yr,2011,
NHS Berkshire West CCG,Asthma Admissions Over 19yr,2012,
NHS Surrey Heath CCG,Asthma Admissions Over 19yr,2012,
NHS Buckinghamshire CCG,Asthma Admissions Over 19yr,2012,
NHS Herts Valleys CCG,Asthma Admissions Over 19yr,2012,
NHS Ealing CCG,Asthma Admissions Over 19yr,2012,
NHS East Berkshire CCG,Asthma Admissions Over 19yr,2012,
NHS Hillingdon CCG,Asthma Admissions Over 19yr,2012,
NHS Hounslow CCG,Asthma Admissions Over 19yr,2012,
NHS Kingston CCG,Asthma Admissions Over 19yr,2012,
NHS Merton CCG,Asthma Admissions Over 19yr,2012,
NHS Richmond CCG,Asthma Admissions Over 19yr,2012,
NHS Sutton CCG,Asthma Admissions Over 19yr,2012,
NHS Wandsworth CCG,Asthma Admissions Over 19yr,2012,
NHS North West Surrey CCG,Asthma Admissions Over 19yr,2012,
NHS Oxfordshire CCG,Asthma Admissions Over 19yr,2012,
NHS Berkshire West CCG,Asthma Admissions Over 19yr,2013,75.59
NHS Surrey Heath CCG,Asthma Admissions Over 19yr,2013,82.18
NHS Ealing CCG,Asthma Admissions Over 19yr,2013,139.52
NHS East Berkshire CCG,Asthma Admissions Over 19yr,2013,77.6
NHS Hillingdon CCG,Asthma Admissions Over 19yr,2013,109.5
NHS Hounslow CCG,Asthma Admissions Over 19yr,2013,102.71
NHS Kingston CCG,Asthma Admissions Over 19yr,2013,48.36
NHS Merton CCG,Asthma Admissions Over 19yr,2013,62.78
NHS Richmond CCG,Asthma Admissions Over 19yr,2013,35.68
NHS Sutton CCG,Asthma Admissions Over 19yr,2013,77.91
NHS Wandsworth CCG,Asthma Admissions Over 19yr,2013,84.18
NHS North West Surrey CCG,Asthma Admissions Over 19yr,2013,65.1
NHS Oxfordshire CCG,Asthma Admissions Over 19yr,2013,66.16
NHS Berkshire West CCG,Asthma Admissions Over 19yr,2014,81.26
NHS Surrey Heath CCG,Asthma Admissions Over 19yr,2014,98.52
NHS Buckinghamshire CCG,Asthma Admissions Over 19yr,2014,97.28
NHS Herts Valleys CCG,Asthma Admissions Over 19yr,2014,94.97
NHS Ealing CCG,Asthma Admissions Over 19yr,2014,142.95
NHS East Berkshire CCG,Asthma Admissions Over 19yr,2014,102.05
NHS Hammersmith And Fulham CCG,Asthma Admissions Over 19yr,2014,149.97
NHS Hillingdon CCG,Asthma Admissions Over 19yr,2014,132.98
NHS Hounslow CCG,Asthma Admissions Over 19yr,2014,98.75
NHS Kingston CCG,Asthma Admissions Over 19yr,2014,53.85
NHS Merton CCG,Asthma Admissions Over 19yr,2014,108.15
NHS Richmond CCG,Asthma Admissions Over 19yr,2014,45.63
NHS Sutton CCG,Asthma Admissions Over 19yr,2014,94.67
NHS Wandsworth CCG,Asthma Admissions Over 19yr,2014,103.58
NHS North West Surrey CCG,Asthma Admissions Over 19yr,2014,69.17
NHS Berkshire West CCG,Asthma Admissions Over 19yr,2015,82.06
NHS Surrey Heath CCG,Asthma Admissions Over 19yr,2015,74.1
NHS Buckinghamshire CCG,Asthma Admissions Over 19yr,2015,63.76
NHS Herts Valleys CCG,Asthma Admissions Over 19yr,2015,95.78
NHS Ealing CCG,Asthma Admissions Over 19yr,2015,140.65
NHS East Berkshire CCG,Asthma Admissions Over 19yr,2015,77.06
NHS Hammersmith And Fulham CCG,Asthma Admissions Over 19yr,2015,125.87
NHS Hillingdon CCG,Asthma Admissions Over 19yr,2015,93.14
NHS Hounslow CCG,Asthma Admissions Over 19yr,2015,137.71
NHS Kingston CCG,Asthma Admissions Over 19yr,2015,53.96
NHS Merton CCG,Asthma Admissions Over 19yr,2015,102.64
NHS Richmond CCG,Asthma Admissions Over 19yr,2015,61.4
NHS Sutton CCG,Asthma Admissions Over 19yr,2015,95.44
NHS Wandsworth CCG,Asthma Admissions Over 19yr,2015,95.21
NHS North West Surrey CCG,Asthma Admissions Over 19yr,2015,57.6
NHS Berkshire West CCG,Asthma Admissions Over 19yr,2016,83.9
NHS Surrey Heath CCG,Asthma Admissions Over 19yr,2016,76.3
NHS Buckinghamshire CCG,Asthma Admissions Over 19yr,2016,70.02
NHS Herts Valleys CCG,Asthma Admissions Over 19yr,2016,99.37
NHS Ealing CCG,Asthma Admissions Over 19yr,2016,147.82
NHS East Berkshire CCG,Asthma Admissions Over 19yr,2016,117.37
NHS Hammersmith And Fulham CCG,Asthma Admissions Over 19yr,2016,112.2
NHS Hillingdon CCG,Asthma Admissions Over 19yr,2016,94.93
NHS Hounslow CCG,Asthma Admissions Over 19yr,2016,134.71
NHS Kingston CCG,Asthma Admissions Over 19yr,2016,84.57
NHS Merton CCG,Asthma Admissions Over 19yr,2016,101.38
NHS Richmond CCG,Asthma Admissions Over 19yr,2016,60.18
NHS Sutton CCG,Asthma Admissions Over 19yr,2016,97.27
NHS Wandsworth CCG,Asthma Admissions Over 19yr,2016,113.05
NHS North West Surrey CCG,Asthma Admissions Over 19yr,2016,65.58
NHS Oxfordshire CCG,Asthma Admissions Over 19yr,2016,66.92
NHS Berkshire West CCG,Asthma Admissions Over 19yr,2017,84.85
NHS Surrey Heath CCG,Asthma Admissions Over 19yr,2017,74.8
NHS Ealing CCG,Asthma Admissions Over 19yr,2017,167.12
NHS East Berkshire CCG,Asthma Admissions Over 19yr,2017,91.59
NHS Hammersmith And Fulham CCG,Asthma Admissions Over 19yr,2017,107.57
NHS Hillingdon CCG,Asthma Admissions Over 19yr,2017,118.38
NHS Hounslow CCG,Asthma Admissions Over 19yr,2017,138.51
NHS Kingston CCG,Asthma Admissions Over 19yr,2017,65.99
NHS Merton CCG,Asthma Admissions Over 19yr,2017,85.6
NHS Richmond CCG,Asthma Admissions Over 19yr,2017,72.45
NHS Sutton CCG,Asthma Admissions Over 19yr,2017,119.72
NHS Wandsworth CCG,Asthma Admissions Over 19yr,2017,98.07
NHS North West Surrey CCG,Asthma Admissions Over 19yr,2017,55.66
NHS Oxfordshire CCG,Asthma Admissions Over 19yr,2017,73.09
NHS Berkshire West CCG,Asthma Admissions Over 19yr,2018,72.82
NHS Surrey Heath CCG,Asthma Admissions Over 19yr,2018,79.1
NHS Ealing CCG,Asthma Admissions Over 19yr,2018,152.31
NHS East Berkshire CCG,Asthma Admissions Over 19yr,2018,114.44
NHS Hammersmith And Fulham CCG,Asthma Admissions Over 19yr,2018,98.56
NHS Hillingdon CCG,Asthma Admissions Over 19yr,2018,120.61
NHS Hounslow CCG,Asthma Admissions Over 19yr,2018,134.57
NHS Kingston CCG,Asthma Admissions Over 19yr,2018,68.04
NHS Merton CCG,Asthma Admissions Over 19yr,2018,93.74
NHS Richmond CCG,Asthma Admissions Over 19yr,2018,78.49
NHS Sutton CCG,Asthma Admissions Over 19yr,2018,101.75
NHS Wandsworth CCG,Asthma Admissions Over 19yr,2018,94.09
NHS North West Surrey CCG,Asthma Admissions Over 19yr,2018,55.4
NHS Oxfordshire CCG,Asthma Admissions Over 19yr,2018,71.18
NHS Berkshire West CCG,Asthma Admissions Over 19yr,2019,
NHS Surrey Heath CCG,Asthma Admissions Over 19yr,2019,
NHS Buckinghamshire CCG,Asthma Admissions Over 19yr,2019,
NHS Herts Valleys CCG,Asthma Admissions Over 19yr,2019,
NHS Ealing CCG,Asthma Admissions Over 19yr,2019,
NHS East Berkshire CCG,Asthma Admissions Over 19yr,2019,
NHS Hillingdon CCG,Asthma Admissions Over 19yr,2019,
NHS Hounslow CCG,Asthma Admissions Over 19yr,2019,
NHS Kingston CCG,Asthma Admissions Over 19yr,2019,
NHS Merton CCG,Asthma Admissions Over 19yr,2019,
NHS Richmond CCG,Asthma Admissions Over 19yr,2019,
NHS Sutton CCG,Asthma Admissions Over 19yr,2019,
NHS Wandsworth CCG,Asthma Admissions Over 19yr,2019,
NHS North West Surrey CCG,Asthma Admissions Over 19yr,2019,
NHS Oxfordshire CCG,Asthma Admissions Over 19yr,2019,
NHS Berkshire West CCG,Asthma Admissions Under 19yr,2004,
NHS Surrey Heath CCG,Asthma Admissions Under 19yr,2004,
NHS Ealing CCG,Asthma Admissions Under 19yr,2004,
NHS East Berkshire CCG,Asthma Admissions Under 19yr,2004,
NHS Hammersmith And Fulham CCG,Asthma Admissions Under 19yr,2004,
NHS Hillingdon CCG,Asthma Admissions Under 19yr,2004,
NHS Hounslow CCG,Asthma Admissions Under 19yr,2004,
NHS Kingston CCG,Asthma Admissions Under 19yr,2004,
NHS Merton CCG,Asthma Admissions Under 19yr,2004,
NHS Richmond CCG,Asthma Admissions Under 19yr,2004,
NHS Sutton CCG,Asthma Admissions Under 19yr,2004,
NHS Wandsworth CCG,Asthma Admissions Under 19yr,2004,
NHS North West Surrey CCG,Asthma Admissions Under 19yr,2004,
NHS Oxfordshire CCG,Asthma Admissions Under 19yr,2004,
NHS Berkshire West CCG,Asthma Admissions Under 19yr,2005,
NHS Surrey Heath CCG,Asthma Admissions Under 19yr,2005,
NHS Buckinghamshire CCG,Asthma Admissions Under 19yr,2005,
NHS Herts Valleys CCG,Asthma Admissions Under 19yr,2005,
NHS Ealing CCG,Asthma Admissions Under 19yr,2005,
NHS East Berkshire CCG,Asthma Admissions Under 19yr,2005,
NHS Hammersmith And Fulham CCG,Asthma Admissions Under 19yr,2005,
NHS Hillingdon CCG,Asthma Admissions Under 19yr,2005,
NHS Hounslow CCG,Asthma Admissions Under 19yr,2005,
NHS Kingston CCG,Asthma Admissions Under 19yr,2005,
NHS Merton CCG,Asthma Admissions Under 19yr,2005,
NHS Richmond CCG,Asthma Admissions Under 19yr,2005,
NHS Sutton CCG,Asthma Admissions Under 19yr,2005,
NHS Wandsworth CCG,Asthma Admissions Under 19yr,2005,
NHS North West Surrey CCG,Asthma Admissions Under 19yr,2005,
NHS Oxfordshire CCG,Asthma Admissions Under 19yr,2005,
NHS Berkshire West CCG,Asthma Admissions Under 19yr,2006,
NHS Surrey Heath CCG,Asthma Admissions Under 19yr,2006,
NHS Buckinghamshire CCG,Asthma Admissions Under 19yr,2006,
NHS Herts Valleys CCG,Asthma Admissions Under 19yr,2006,
NHS Ealing CCG,Asthma Admissions Under 19yr,2006,
NHS East Berkshire CCG,Asthma Admissions Under 19yr,2006,
NHS Hammersmith And Fulham CCG,Asthma Admissions Under 19yr,2006,
NHS Hillingdon CCG,Asthma Admissions Under 19yr,2006,
NHS Hounslow CCG,Asthma Admissions Under 19yr,2006,
NHS Kingston CCG,Asthma Admissions Under 19yr,2006,
NHS Merton CCG,Asthma Admissions Under 19yr,2006,
NHS Richmond CCG,Asthma Admissions Under 19yr,2006,
NHS Sutton CCG,Asthma Admissions Under 19yr,2006,
NHS Wandsworth CCG,Asthma Admissions Under 19yr,2006,
NHS North West Surrey CCG,Asthma Admissions Under 19yr,2006,
NHS Oxfordshire CCG,Asthma Admissions Under 19yr,2006,
NHS Berkshire West CCG,Asthma Admissions Under 19yr,2007,
NHS Surrey Heath CCG,Asthma Admissions Under 19yr,2007,
NHS Buckinghamshire CCG,Asthma Admissions Under 19yr,2007,
NHS Herts Valleys CCG,Asthma Admissions Under 19yr,2007,
NHS Ealing CCG,Asthma Admissions Under 19yr,2007,
NHS East Berkshire CCG,Asthma Admissions Under 19yr,2007,
NHS Hillingdon CCG,Asthma Admissions Under 19yr,2007,
NHS Hounslow CCG,Asthma Admissions Under 19yr,2007,
NHS Kingston CCG,Asthma Admissions Under 19yr,2007,
NHS Merton CCG,Asthma Admissions Under 19yr,2007,
NHS Richmond CCG,Asthma Admissions Under 19yr,2007,
NHS Sutton CCG,Asthma Admissions Under 19yr,2007,
NHS Wandsworth CCG,Asthma Admissions Under 19yr,2007,
NHS North West Surrey CCG,Asthma Admissions Under 19yr,2007,
NHS Oxfordshire CCG,Asthma Admissions Under 19yr,2007,
NHS Berkshire West CCG,Asthma Admissions Under 19yr,2008,
NHS Surrey Heath CCG,Asthma Admissions Under 19yr,2008,
NHS Buckinghamshire CCG,Asthma Admissions Under 19yr,2008,
NHS Herts Valleys CCG,Asthma Admissions Under 19yr,2008,
NHS Ealing CCG,Asthma Admissions Under 19yr,2008,
NHS East Berkshire CCG,Asthma Admissions Under 19yr,2008,
NHS Hammersmith And Fulham CCG,Asthma Admissions Under 19yr,2008,
NHS Hillingdon CCG,Asthma Admissions Under 19yr,2008,
NHS Hounslow CCG,Asthma Admissions Under 19yr,2008,
NHS Kingston CCG,Asthma Admissions Under 19yr,2008,
NHS Merton CCG,Asthma Admissions Under 19yr,2008,
NHS Richmond CCG,Asthma Admissions Under 19yr,2008,
NHS Sutton CCG,Asthma Admissions Under 19yr,2008,
NHS Wandsworth CCG,Asthma Admissions Under 19yr,2008,
NHS North West Surrey CCG,Asthma Admissions Under 19yr,2008,
NHS Oxfordshire CCG,Asthma Admissions Under 19yr,2008,
NHS Berkshire West CCG,Asthma Admissions Under 19yr,2009,
NHS Surrey Heath CCG,Asthma Admissions Under 19yr,2009,
NHS Buckinghamshire CCG,Asthma Admissions Under 19yr,2009,
NHS Herts Valleys CCG,Asthma Admissions Under 19yr,2009,
NHS Ealing CCG,Asthma Admissions Under 19yr,2009,
NHS East Berkshire CCG,Asthma Admissions Under 19yr,2009,
NHS Hammersmith And Fulham CCG,Asthma Admissions Under 19yr,2009,
NHS Hillingdon CCG,Asthma Admissions Under 19yr,2009,
NHS Hounslow CCG,Asthma Admissions Under 19yr,2009,
NHS Kingston CCG,Asthma Admissions Under 19yr,2009,
NHS Merton CCG,Asthma Admissions Under 19yr,2009,
NHS Richmond CCG,Asthma Admissions Under 19yr,2009,
NHS Sutton CCG,Asthma Admissions Under 19yr,2009,
NHS Wandsworth CCG,Asthma Admissions Under 19yr,2009,
NHS North West Surrey CCG,Asthma Admissions Under 19yr,2009,
NHS Berkshire West CCG,Asthma Admissions Under 19yr,2010,
NHS Surrey Heath CCG,Asthma Admissions Under 19yr,2010,
NHS Buckinghamshire CCG,Asthma Admissions Under 19yr,2010,
NHS Herts Valleys CCG,Asthma Admissions Under 19yr,2010,
NHS Ealing CCG,Asthma Admissions Under 19yr,2010,
NHS East Berkshire CCG,Asthma Admissions Under 19yr,2010,
NHS Hammersmith And Fulham CCG,Asthma Admissions Under 19yr,2010,
NHS Hillingdon CCG,Asthma Admissions Under 19yr,2010,
NHS Hounslow CCG,Asthma Admissions Under 19yr,2010,
NHS Kingston CCG,Asthma Admissions Under 19yr,2010,
NHS Merton CCG,Asthma Admissions Under 19yr,2010,
NHS Richmond CCG,Asthma Admissions Under 19yr,2010,
NHS Sutton CCG,Asthma Admissions Under 19yr,2010,
NHS Wandsworth CCG,Asthma Admissions Under 19yr,2010,
NHS North West Surrey CCG,Asthma Admissions Under 19yr,2010,
NHS Oxfordshire CCG,Asthma Admissions Under 19yr,2010,
NHS Berkshire West CCG,Asthma Admissions Under 19yr,2011,
NHS Surrey Heath CCG,Asthma Admissions Under 19yr,2011,
NHS Ealing CCG,Asthma Admissions Under 19yr,2011,
NHS East Berkshire CCG,Asthma Admissions Under 19yr,2011,
NHS Hammersmith And Fulham CCG,Asthma Admissions Under 19yr,2011,
NHS Hillingdon CCG,Asthma Admissions Under 19yr,2011,
NHS Hounslow CCG,Asthma Admissions Under 19yr,2011,
NHS Kingston CCG,Asthma Admissions Under 19yr,2011,
NHS Merton CCG,Asthma Admissions Under 19yr,2011,
NHS Richmond CCG,Asthma Admissions Under 19yr,2011,
NHS Sutton CCG,Asthma Admissions Under 19yr,2011,
NHS Wandsworth CCG,Asthma Admissions Under 19yr,2011,
NHS North West Surrey CCG,Asthma Admissions Under 19yr,2011,
NHS Oxfordshire CCG,Asthma Admissions Under 19yr,2011,
NHS Berkshire West CCG,Asthma Admissions Under 19yr,2012,
NHS Surrey Heath CCG,Asthma Admissions Under 19yr,2012,
NHS Buckinghamshire CCG,Asthma Admissions Under 19yr,2012,
NHS Herts Valleys CCG,Asthma Admissions Under 19yr,2012,
NHS Ealing CCG,Asthma Admissions Under 19yr,2012,
NHS East Berkshire CCG,Asthma Admissions Under 19yr,2012,
NHS Hillingdon CCG,Asthma Admissions Under 19yr,2012,
NHS Hounslow CCG,Asthma Admissions Under 19yr,2012,
NHS Kingston CCG,Asthma Admissions Under 19yr,2012,
NHS Merton CCG,Asthma Admissions Under 19yr,2012,
NHS Richmond CCG,Asthma Admissions Under 19yr,2012,
NHS Sutton CCG,Asthma Admissions Under 19yr,2012,
NHS Wandsworth CCG,Asthma Admissions Under 19yr,2012,
NHS North West Surrey CCG,Asthma Admissions Under 19yr,2012,
NHS Oxfordshire CCG,Asthma Admissions Under 19yr,2012,
NHS Berkshire West CCG,Asthma Admissions Under 19yr,2013,104.88
NHS Surrey Heath CCG,Asthma Admissions Under 19yr,2013,155.9733333
NHS Ealing CCG,Asthma Admissions Under 19yr,2013,238.8433333
NHS East Berkshire CCG,Asthma Admissions Under 19yr,2013,118.7966667
NHS Hillingdon CCG,Asthma Admissions Under 19yr,2013,145.2933333
NHS Hounslow CCG,Asthma Admissions Under 19yr,2013,142.28
NHS Kingston CCG,Asthma Admissions Under 19yr,2013,116.43
NHS Merton CCG,Asthma Admissions Under 19yr,2013,252.9433333
NHS Richmond CCG,Asthma Admissions Under 19yr,2013,76.66333333
NHS Sutton CCG,Asthma Admissions Under 19yr,2013,185.6533333
NHS Wandsworth CCG,Asthma Admissions Under 19yr,2013,201.89
NHS North West Surrey CCG,Asthma Admissions Under 19yr,2013,165.8066667
NHS Oxfordshire CCG,Asthma Admissions Under 19yr,2013,139.12
NHS Berkshire West CCG,Asthma Admissions Under 19yr,2014,140.7666667
NHS Surrey Heath CCG,Asthma Admissions Under 19yr,2014,122.52
NHS Buckinghamshire CCG,Asthma Admissions Under 19yr,2014,158.58
NHS Herts Valleys CCG,Asthma Admissions Under 19yr,2014,135.5633333
NHS Ealing CCG,Asthma Admissions Under 19yr,2014,193.4766667
NHS East Berkshire CCG,Asthma Admissions Under 19yr,2014,176.1666667
NHS Hammersmith And Fulham CCG,Asthma Admissions Under 19yr,2014,118.8633333
NHS Hillingdon CCG,Asthma Admissions Under 19yr,2014,199.1766667
NHS Hounslow CCG,Asthma Admissions Under 19yr,2014,147.8433333
NHS Kingston CCG,Asthma Admissions Under 19yr,2014,214.7333333
NHS Merton CCG,Asthma Admissions Under 19yr,2014,233.44
NHS Richmond CCG,Asthma Admissions Under 19yr,2014,107.0166667
NHS Sutton CCG,Asthma Admissions Under 19yr,2014,170.4866667
NHS Wandsworth CCG,Asthma Admissions Under 19yr,2014,167.32
NHS North West Surrey CCG,Asthma Admissions Under 19yr,2014,200.5533333
NHS Berkshire West CCG,Asthma Admissions Under 19yr,2015,162.3933333
NHS Surrey Heath CCG,Asthma Admissions Under 19yr,2015,119.73
NHS Buckinghamshire CCG,Asthma Admissions Under 19yr,2015,123.64
NHS Herts Valleys CCG,Asthma Admissions Under 19yr,2015,128.95
NHS Ealing CCG,Asthma Admissions Under 19yr,2015,205.6066667
NHS East Berkshire CCG,Asthma Admissions Under 19yr,2015,141.7233333
NHS Hammersmith And Fulham CCG,Asthma Admissions Under 19yr,2015,117.4466667
NHS Hillingdon CCG,Asthma Admissions Under 19yr,2015,167.7133333
NHS Hounslow CCG,Asthma Admissions Under 19yr,2015,136.7933333
NHS Kingston CCG,Asthma Admissions Under 19yr,2015,145.6733333
NHS Merton CCG,Asthma Admissions Under 19yr,2015,193.4966667
NHS Richmond CCG,Asthma Admissions Under 19yr,2015,136.65
NHS Sutton CCG,Asthma Admissions Under 19yr,2015,109.99
NHS Wandsworth CCG,Asthma Admissions Under 19yr,2015,127.67
NHS North West Surrey CCG,Asthma Admissions Under 19yr,2015,170.6566667
NHS Berkshire West CCG,Asthma Admissions Under 19yr,2016,137.7
NHS Surrey Heath CCG,Asthma Admissions Under 19yr,2016,153.63
NHS Buckinghamshire CCG,Asthma Admissions Under 19yr,2016,141.5933333
NHS Herts Valleys CCG,Asthma Admissions Under 19yr,2016,138.0266667
NHS Ealing CCG,Asthma Admissions Under 19yr,2016,148.28
NHS East Berkshire CCG,Asthma Admissions Under 19yr,2016,163.02
