,Indicator ID,Indicator Name,Area Code,Area Name,Area Type,Sex,Age,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Compared to England value or percentiles,Time period Sortable,Radius
32,1204,Mortality rate from chronic obstructive pulmonary disease,E38000084,NHS Hounslow CCG,CCGs (since 4/20),Persons,All ages,2012 - 14,52.71,46.1,59.99,42.59,64.38,233.0,783823.0,,Similar,2012,Inner
33,1204,Mortality rate from chronic obstructive pulmonary disease,E38000223,NHS Buckinghamshire CCG,CCGs (since 4/20),Persons,All ages,2012 - 14,32.01,29.14,35.08,27.58,36.91,460.0,1555960.0,,Not compared,2012,Inner
34,1204,Mortality rate from chronic obstructive pulmonary disease,E38000224,NHS East Berkshire CCG,CCGs (since 4/20),Persons,All ages,2012 - 14,47.22,42.8,51.98,40.39,54.81,421.0,1252077.0,,Similar,2012,Inner
35,1204,Mortality rate from chronic obstructive pulmonary disease,E38000048,NHS Ealing CCG,CCGs (since 4/20),Persons,All ages,2013 - 15,40.37,35.47,45.77,32.85,49.02,246.0,1029390.0,,Not compared,2013,Inner
36,1204,Mortality rate from chronic obstructive pulmonary disease,E38000082,NHS Hillingdon CCG,CCGs (since 4/20),Persons,All ages,2013 - 15,50.1,44.61,56.08,41.66,59.67,305.0,873420.0,,Similar,2013,Inner
37,1204,Mortality rate from chronic obstructive pulmonary disease,E38000084,NHS Hounslow CCG,CCGs (since 4/20),Persons,All ages,2013 - 15,54.82,48.18,62.12,44.64,66.5,250.0,791717.0,,Similar,2013,Inner
38,1204,Mortality rate from chronic obstructive pulmonary disease,E38000223,NHS Buckinghamshire CCG,CCGs (since 4/20),Persons,All ages,2013 - 15,34.74,31.79,37.89,30.18,39.76,513.0,1571942.0,,Not compared,2013,Inner
39,1204,Mortality rate from chronic obstructive pulmonary disease,E38000224,NHS East Berkshire CCG,CCGs (since 4/20),Persons,All ages,2013 - 15,47.32,42.92,52.04,40.53,54.86,428.0,1263571.0,,Better,2013,Inner
40,1204,Mortality rate from chronic obstructive pulmonary disease,E38000048,NHS Ealing CCG,CCGs (since 4/20),Persons,All ages,2014 - 16,38.44,33.71,43.63,31.2,46.76,241.0,1032084.0,,Not compared,2014,Inner
41,1204,Mortality rate from chronic obstructive pulmonary disease,E38000082,NHS Hillingdon CCG,CCGs (since 4/20),Persons,All ages,2014 - 16,43.0,37.97,48.51,35.28,51.82,267.0,887323.0,,Not compared,2014,Inner
42,1204,Mortality rate from chronic obstructive pulmonary disease,E38000084,NHS Hounslow CCG,CCGs (since 4/20),Persons,All ages,2014 - 16,53.78,47.29,60.9,43.83,65.18,252.0,798712.0,,Similar,2014,Inner
43,1204,Mortality rate from chronic obstructive pulmonary disease,E38000223,NHS Buckinghamshire CCG,CCGs (since 4/20),Persons,All ages,2014 - 16,36.77,33.77,39.97,32.13,41.87,557.0,1589305.0,,Not compared,2014,Inner
44,1204,Mortality rate from chronic obstructive pulmonary disease,E38000224,NHS East Berkshire CCG,CCGs (since 4/20),Persons,All ages,2014 - 16,45.36,41.1,49.95,38.78,52.69,418.0,1276173.0,,Better,2014,Inner
45,1204,Mortality rate from chronic obstructive pulmonary disease,E38000048,NHS Ealing CCG,CCGs (since 4/20),Persons,All ages,2015 - 17,37.44,32.84,42.51,30.39,45.56,241.0,1031823.0,,Not compared,2015,Inner
46,1204,Mortality rate from chronic obstructive pulmonary disease,E38000082,NHS Hillingdon CCG,CCGs (since 4/20),Persons,All ages,2015 - 17,40.6,35.77,45.91,33.19,49.09,258.0,898298.0,,Not compared,2015,Inner
47,1204,Mortality rate from chronic obstructive pulmonary disease,E38000084,NHS Hounslow CCG,CCGs (since 4/20),Persons,All ages,2015 - 17,49.59,43.42,56.38,40.14,60.47,237.0,803782.0,,Similar,2015,Inner
48,1204,Mortality rate from chronic obstructive pulmonary disease,E38000223,NHS Buckinghamshire CCG,CCGs (since 4/20),Persons,All ages,2015 - 17,38.76,35.72,42.0,34.05,43.92,602.0,1603995.0,,Not compared,2015,Inner
49,1204,Mortality rate from chronic obstructive pulmonary disease,E38000224,NHS East Berkshire CCG,CCGs (since 4/20),Persons,All ages,2015 - 17,43.72,39.58,48.18,37.33,50.84,411.0,1286024.0,,Not compared,2015,Inner
50,1204,Mortality rate from chronic obstructive pulmonary disease,E38000048,NHS Ealing CCG,CCGs (since 4/20),Persons,All ages,2016 - 18,34.75,30.39,39.55,28.08,42.44,232.0,1029520.0,,Not compared,2016,Inner
51,1204,Mortality rate from chronic obstructive pulmonary disease,E38000082,NHS Hillingdon CCG,CCGs (since 4/20),Persons,All ages,2016 - 18,43.22,38.27,48.63,35.62,51.87,280.0,907066.0,,Better,2016,Inner
52,1204,Mortality rate from chronic obstructive pulmonary disease,E38000084,NHS Hounslow CCG,CCGs (since 4/20),Persons,All ages,2016 - 18,46.4,40.49,52.93,37.35,56.86,226.0,808152.0,,Similar,2016,Inner
53,1204,Mortality rate from chronic obstructive pulmonary disease,E38000223,NHS Buckinghamshire CCG,CCGs (since 4/20),Persons,All ages,2016 - 18,35.02,32.17,38.07,30.6,39.87,558.0,1616693.0,,Not compared,2016,Inner
54,1204,Mortality rate from chronic obstructive pulmonary disease,E38000224,NHS East Berkshire CCG,CCGs (since 4/20),Persons,All ages,2016 - 18,42.88,38.82,47.25,36.61,49.85,412.0,1295301.0,,Not compared,2016,Inner
55,1204,Mortality rate from chronic obstructive pulmonary disease,E38000048,NHS Ealing CCG,CCGs (2019/20),Persons,All ages,2006 - 08,42.3,36.95,48.2,34.11,51.76,228.0,958022.0,,Better,2006,Inner
56,1204,Mortality rate from chronic obstructive pulmonary disease,E38000082,NHS Hillingdon CCG,CCGs (2019/20),Persons,All ages,2006 - 08,47.58,41.92,53.78,38.9,57.52,258.0,772419.0,,Similar,2006,Inner
57,1204,Mortality rate from chronic obstructive pulmonary disease,E38000084,NHS Hounslow CCG,CCGs (2019/20),Persons,All ages,2006 - 08,54.46,47.24,62.46,43.42,67.29,210.0,699487.0,,Similar,2006,Inner
58,1204,Mortality rate from chronic obstructive pulmonary disease,E38000128,NHS North West Surrey CCG,CCGs (2019/20),Persons,All ages,2006 - 08,38.44,34.34,42.89,32.14,45.55,324.0,970029.0,,Not compared,2006,Inner
59,1204,Mortality rate from chronic obstructive pulmonary disease,E38000223,NHS Buckinghamshire CCG,CCGs (2019/20),Persons,All ages,2006 - 08,35.73,32.44,39.28,30.64,41.38,433.0,1487851.0,,Not compared,2006,Inner
60,1204,Mortality rate from chronic obstructive pulmonary disease,E38000224,NHS East Berkshire CCG,CCGs (2019/20),Persons,All ages,2006 - 08,46.33,41.67,51.36,39.15,54.37,365.0,1167880.0,,Better,2006,Inner
61,1204,Mortality rate from chronic obstructive pulmonary disease,E38000048,NHS Ealing CCG,CCGs (2019/20),Persons,All ages,2007 - 09,40.5,35.32,46.22,32.58,49.67,223.0,972659.0,,Not compared,2007,Inner
62,1204,Mortality rate from chronic obstructive pulmonary disease,E38000082,NHS Hillingdon CCG,CCGs (2019/20),Persons,All ages,2007 - 09,51.84,45.95,58.27,42.79,62.13,284.0,783697.0,,Similar,2007,Inner
63,1204,Mortality rate from chronic obstructive pulmonary disease,E38000084,NHS Hounslow CCG,CCGs (2019/20),Persons,All ages,2007 - 09,46.67,40.05,54.07,36.56,58.54,184.0,714727.0,,Similar,2007,Inner
64,1204,Mortality rate from chronic obstructive pulmonary disease,E38000128,NHS North West Surrey CCG,CCGs (2019/20),Persons,All ages,2007 - 09,36.44,32.51,40.72,30.39,43.28,316.0,979354.0,,Not compared,2007,Inner
65,1204,Mortality rate from chronic obstructive pulmonary disease,E38000223,NHS Buckinghamshire CCG,CCGs (2019/20),Persons,All ages,2007 - 09,37.12,33.8,40.67,31.99,42.79,463.0,1497335.0,,Not compared,2007,Inner
66,1204,Mortality rate from chronic obstructive pulmonary disease,E38000224,NHS East Berkshire CCG,CCGs (2019/20),Persons,All ages,2007 - 09,45.29,40.72,50.22,38.25,53.17,364.0,1183866.0,,Better,2007,Inner
67,1204,Mortality rate from chronic obstructive pulmonary disease,E38000048,NHS Ealing CCG,CCGs (2019/20),Persons,All ages,2008 - 10,43.2,37.87,49.07,35.04,52.6,241.0,988061.0,,Better,2008,Inner
68,1204,Mortality rate from chronic obstructive pulmonary disease,E38000082,NHS Hillingdon CCG,CCGs (2019/20),Persons,All ages,2008 - 10,52.75,46.84,59.2,43.66,63.07,292.0,796181.0,,Similar,2008,Inner
69,1204,Mortality rate from chronic obstructive pulmonary disease,E38000084,NHS Hounslow CCG,CCGs (2019/20),Persons,All ages,2008 - 10,46.2,39.69,53.47,36.26,57.87,185.0,730509.0,,Similar,2008,Inner
70,1204,Mortality rate from chronic obstructive pulmonary disease,E38000128,NHS North West Surrey CCG,CCGs (2019/20),Persons,All ages,2008 - 10,40.57,36.44,45.03,34.21,47.7,358.0,988482.0,,Not compared,2008,Inner
71,1204,Mortality rate from chronic obstructive pulmonary disease,E38000223,NHS Buckinghamshire CCG,CCGs (2019/20),Persons,All ages,2008 - 10,36.02,32.8,39.48,31.04,41.54,462.0,1506669.0,,Not compared,2008,Inner
72,1204,Mortality rate from chronic obstructive pulmonary disease,E38000224,NHS East Berkshire CCG,CCGs (2019/20),Persons,All ages,2008 - 10,45.41,40.89,50.29,38.45,53.2,374.0,1200105.0,,Similar,2008,Inner
73,1204,Mortality rate from chronic obstructive pulmonary disease,E38000048,NHS Ealing CCG,CCGs (2019/20),Persons,All ages,2009 - 11,43.03,37.76,48.83,34.96,52.32,244.0,1003353.0,,Better,2009,Inner
74,1204,Mortality rate from chronic obstructive pulmonary disease,E38000082,NHS Hillingdon CCG,CCGs (2019/20),Persons,All ages,2009 - 11,50.04,44.33,56.28,41.27,60.02,281.0,810629.0,,Similar,2009,Inner
75,1204,Mortality rate from chronic obstructive pulmonary disease,E38000084,NHS Hounslow CCG,CCGs (2019/20),Persons,All ages,2009 - 11,49.08,42.48,56.41,39.0,60.83,203.0,747529.0,,Similar,2009,Inner
76,1204,Mortality rate from chronic obstructive pulmonary disease,E38000128,NHS North West Surrey CCG,CCGs (2019/20),Persons,All ages,2009 - 11,41.41,37.29,45.86,35.07,48.51,375.0,998521.0,,Not compared,2009,Inner
77,1204,Mortality rate from chronic obstructive pulmonary disease,E38000223,NHS Buckinghamshire CCG,CCGs (2019/20),Persons,All ages,2009 - 11,34.97,31.84,38.34,30.13,40.34,460.0,1516795.0,,Not compared,2009,Inner
78,1204,Mortality rate from chronic obstructive pulmonary disease,E38000224,NHS East Berkshire CCG,CCGs (2019/20),Persons,All ages,2009 - 11,45.25,40.78,50.08,38.36,52.96,379.0,1215356.0,,Similar,2009,Inner
79,1204,Mortality rate from chronic obstructive pulmonary disease,E38000048,NHS Ealing CCG,CCGs (2019/20),Persons,All ages,2010 - 12,42.66,37.47,48.38,34.7,51.81,246.0,1013719.0,,Better,2010,Inner
80,1204,Mortality rate from chronic obstructive pulmonary disease,E38000082,NHS Hillingdon CCG,CCGs (2019/20),Persons,All ages,2010 - 12,50.48,44.79,56.7,41.74,60.43,287.0,826143.0,,Similar,2010,Inner
81,1204,Mortality rate from chronic obstructive pulmonary disease,E38000084,NHS Hounslow CCG,CCGs (2019/20),Persons,All ages,2010 - 12,52.9,46.13,60.39,42.53,64.9,223.0,762681.0,,Similar,2010,Inner
82,1204,Mortality rate from chronic obstructive pulmonary disease,E38000128,NHS North West Surrey CCG,CCGs (2019/20),Persons,All ages,2010 - 12,43.58,39.39,48.08,37.13,50.76,403.0,1007897.0,,Better,2010,Inner
83,1204,Mortality rate from chronic obstructive pulmonary disease,E38000223,NHS Buckinghamshire CCG,CCGs (2019/20),Persons,All ages,2010 - 12,31.59,28.66,34.74,27.07,36.62,429.0,1528888.0,,Not compared,2010,Inner
84,1204,Mortality rate from chronic obstructive pulmonary disease,E38000224,NHS East Berkshire CCG,CCGs (2019/20),Persons,All ages,2010 - 12,45.75,41.31,50.53,38.9,53.39,392.0,1229244.0,,Similar,2010,Inner
85,1204,Mortality rate from chronic obstructive pulmonary disease,E38000048,NHS Ealing CCG,CCGs (2019/20),Persons,All ages,2011 - 13,42.03,36.91,47.66,34.19,51.04,245.0,1021754.0,,Not compared,2011,Inner
86,1204,Mortality rate from chronic obstructive pulmonary disease,E38000082,NHS Hillingdon CCG,CCGs (2019/20),Persons,All ages,2011 - 13,50.86,45.2,57.04,42.16,60.74,295.0,842674.0,,Similar,2011,Inner
87,1204,Mortality rate from chronic obstructive pulmonary disease,E38000084,NHS Hounslow CCG,CCGs (2019/20),Persons,All ages,2011 - 13,51.94,45.3,59.28,41.77,63.7,224.0,774720.0,,Similar,2011,Inner
88,1204,Mortality rate from chronic obstructive pulmonary disease,E38000128,NHS North West Surrey CCG,CCGs (2019/20),Persons,All ages,2011 - 13,40.35,36.37,44.64,34.22,47.2,381.0,1015928.0,,Not compared,2011,Inner
89,1204,Mortality rate from chronic obstructive pulmonary disease,E38000223,NHS Buckinghamshire CCG,CCGs (2019/20),Persons,All ages,2011 - 13,32.11,29.19,35.25,27.61,37.11,447.0,1541580.0,,Not compared,2011,Inner
90,1204,Mortality rate from chronic obstructive pulmonary disease,E38000224,NHS East Berkshire CCG,CCGs (2019/20),Persons,All ages,2011 - 13,47.69,43.19,52.52,40.76,55.4,416.0,1240611.0,,Similar,2011,Inner
91,1204,Mortality rate from chronic obstructive pulmonary disease,E38000048,NHS Ealing CCG,CCGs (2019/20),Persons,All ages,2012 - 14,40.38,35.42,45.83,32.79,49.12,241.0,1025437.0,,Not compared,2012,Inner
92,1204,Mortality rate from chronic obstructive pulmonary disease,E38000082,NHS Hillingdon CCG,CCGs (2019/20),Persons,All ages,2012 - 14,51.44,45.8,57.57,42.78,61.25,305.0,858543.0,,Similar,2012,Inner
93,1204,Mortality rate from chronic obstructive pulmonary disease,E38000084,NHS Hounslow CCG,CCGs (2019/20),Persons,All ages,2012 - 14,52.71,46.1,59.99,42.59,64.38,233.0,783823.0,,Similar,2012,Inner
94,1204,Mortality rate from chronic obstructive pulmonary disease,E38000128,NHS North West Surrey CCG,CCGs (2019/20),Persons,All ages,2012 - 14,38.2,34.36,42.35,32.29,44.83,366.0,1022333.0,,Not compared,2012,Inner
95,1204,Mortality rate from chronic obstructive pulmonary disease,E38000223,NHS Buckinghamshire CCG,CCGs (2019/20),Persons,All ages,2012 - 14,32.01,29.14,35.08,27.58,36.91,460.0,1555960.0,,Not compared,2012,Inner
96,1204,Mortality rate from chronic obstructive pulmonary disease,E38000224,NHS East Berkshire CCG,CCGs (2019/20),Persons,All ages,2012 - 14,47.22,42.8,51.98,40.39,54.81,421.0,1252077.0,,Similar,2012,Inner
97,1204,Mortality rate from chronic obstructive pulmonary disease,E38000048,NHS Ealing CCG,CCGs (2019/20),Persons,All ages,2013 - 15,40.37,35.47,45.77,32.85,49.02,246.0,1029390.0,,Not compared,2013,Inner
98,1204,Mortality rate from chronic obstructive pulmonary disease,E38000082,NHS Hillingdon CCG,CCGs (2019/20),Persons,All ages,2013 - 15,50.1,44.61,56.08,41.66,59.67,305.0,873420.0,,Similar,2013,Inner
99,1204,Mortality rate from chronic obstructive pulmonary disease,E38000084,NHS Hounslow CCG,CCGs (2019/20),Persons,All ages,2013 - 15,54.82,48.18,62.12,44.64,66.5,250.0,791717.0,,Similar,2013,Inner
100,1204,Mortality rate from chronic obstructive pulmonary disease,E38000128,NHS North West Surrey CCG,CCGs (2019/20),Persons,All ages,2013 - 15,39.38,35.5,43.56,33.4,46.06,382.0,1028960.0,,Not compared,2013,Inner
101,1204,Mortality rate from chronic obstructive pulmonary disease,E38000223,NHS Buckinghamshire CCG,CCGs (2019/20),Persons,All ages,2013 - 15,34.74,31.79,37.89,30.18,39.76,513.0,1571942.0,,Not compared,2013,Inner
102,1204,Mortality rate from chronic obstructive pulmonary disease,E38000224,NHS East Berkshire CCG,CCGs (2019/20),Persons,All ages,2013 - 15,47.32,42.92,52.04,40.53,54.86,428.0,1263571.0,,Better,2013,Inner
103,1204,Mortality rate from chronic obstructive pulmonary disease,E38000048,NHS Ealing CCG,CCGs (2019/20),Persons,All ages,2014 - 16,38.44,33.71,43.63,31.2,46.76,241.0,1032084.0,,Not compared,2014,Inner
104,1204,Mortality rate from chronic obstructive pulmonary disease,E38000082,NHS Hillingdon CCG,CCGs (2019/20),Persons,All ages,2014 - 16,43.0,37.97,48.51,35.28,51.82,267.0,887323.0,,Not compared,2014,Inner
105,1204,Mortality rate from chronic obstructive pulmonary disease,E38000084,NHS Hounslow CCG,CCGs (2019/20),Persons,All ages,2014 - 16,53.78,47.29,60.9,43.83,65.18,252.0,798712.0,,Similar,2014,Inner
106,1204,Mortality rate from chronic obstructive pulmonary disease,E38000128,NHS North West Surrey CCG,CCGs (2019/20),Persons,All ages,2014 - 16,40.9,36.98,45.13,34.85,47.64,404.0,1035129.0,,Not compared,2014,Inner
107,1204,Mortality rate from chronic obstructive pulmonary disease,E38000223,NHS Buckinghamshire CCG,CCGs (2019/20),Persons,All ages,2014 - 16,36.77,33.77,39.97,32.13,41.87,557.0,1589305.0,,Not compared,2014,Inner
108,1204,Mortality rate from chronic obstructive pulmonary disease,E38000224,NHS East Berkshire CCG,CCGs (2019/20),Persons,All ages,2014 - 16,45.36,41.1,49.95,38.78,52.69,418.0,1276173.0,,Better,2014,Inner
109,1204,Mortality rate from chronic obstructive pulmonary disease,E38000048,NHS Ealing CCG,CCGs (2019/20),Persons,All ages,2015 - 17,37.44,32.84,42.51,30.39,45.56,241.0,1031823.0,,Not compared,2015,Inner
110,1204,Mortality rate from chronic obstructive pulmonary disease,E38000082,NHS Hillingdon CCG,CCGs (2019/20),Persons,All ages,2015 - 17,40.6,35.77,45.91,33.19,49.09,258.0,898298.0,,Not compared,2015,Inner
111,1204,Mortality rate from chronic obstructive pulmonary disease,E38000084,NHS Hounslow CCG,CCGs (2019/20),Persons,All ages,2015 - 17,49.59,43.42,56.38,40.14,60.47,237.0,803782.0,,Similar,2015,Inner
112,1204,Mortality rate from chronic obstructive pulmonary disease,E38000128,NHS North West Surrey CCG,CCGs (2019/20),Persons,All ages,2015 - 17,43.12,39.12,47.41,36.94,49.97,432.0,1040080.0,,Not compared,2015,Inner
113,1204,Mortality rate from chronic obstructive pulmonary disease,E38000223,NHS Buckinghamshire CCG,CCGs (2019/20),Persons,All ages,2015 - 17,38.76,35.72,42.0,34.05,43.92,602.0,1603995.0,,Not compared,2015,Inner
114,1204,Mortality rate from chronic obstructive pulmonary disease,E38000224,NHS East Berkshire CCG,CCGs (2019/20),Persons,All ages,2015 - 17,43.72,39.58,48.18,37.33,50.84,411.0,1286024.0,,Not compared,2015,Inner
115,1204,Mortality rate from chronic obstructive pulmonary disease,E38000048,NHS Ealing CCG,CCGs (2019/20),Persons,All ages,2016 - 18,34.75,30.39,39.55,28.08,42.44,232.0,1029520.0,,Not compared,2016,Inner
116,1204,Mortality rate from chronic obstructive pulmonary disease,E38000082,NHS Hillingdon CCG,CCGs (2019/20),Persons,All ages,2016 - 18,43.22,38.27,48.63,35.62,51.87,280.0,907066.0,,Better,2016,Inner
117,1204,Mortality rate from chronic obstructive pulmonary disease,E38000084,NHS Hounslow CCG,CCGs (2019/20),Persons,All ages,2016 - 18,46.4,40.49,52.93,37.35,56.86,226.0,808152.0,,Similar,2016,Inner
118,1204,Mortality rate from chronic obstructive pulmonary disease,E38000128,NHS North West Surrey CCG,CCGs (2019/20),Persons,All ages,2016 - 18,42.12,38.21,46.32,36.08,48.83,431.0,1043728.0,,Not compared,2016,Inner
119,1204,Mortality rate from chronic obstructive pulmonary disease,E38000223,NHS Buckinghamshire CCG,CCGs (2019/20),Persons,All ages,2016 - 18,35.02,32.17,38.07,30.6,39.87,558.0,1616693.0,,Not compared,2016,Inner
120,1204,Mortality rate from chronic obstructive pulmonary disease,E38000224,NHS East Berkshire CCG,CCGs (2019/20),Persons,All ages,2016 - 18,42.88,38.82,47.25,36.61,49.85,412.0,1295301.0,,Not compared,2016,Inner
121,1204,Mortality rate from chronic obstructive pulmonary disease,E38000048,NHS Ealing CCG,CCGs (2018/19),Persons,All ages,2006 - 08,42.3,36.95,48.2,34.11,51.76,228.0,958022.0,,Better,2006,Inner
